Global Ship Lease Price to Free Cash Flow Ratio Historical Data,Global Ship Lease Price to Free Cash Flow Ratio Historical Data,Global Ship Lease Price to Free Cash Flow Ratio Historical Data,Global Ship Lease Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.88,,4.01
2024-12-31,21.83,$5.95,3.67
2024-09-30,26.12,$11.57,2.26
2024-06-30,27.72,$10.65,2.6
2024-03-31,19.29,$6.86,2.81
2023-12-31,18.49,$6.63,2.79
2023-09-30,16.75,$5.70,2.94
2023-06-30,17.38,$6.51,2.67
2023-03-31,16.45,$9.64,1.71
2022-12-31,14.33,$8.66,1.66
2022-09-30,13.29,$10.18,1.31
2022-06-30,13.63,$-0.80,0.0
2022-03-31,23.12,$-4.27,0.0
2021-12-31,18.41,$-5.20,0.0
2021-09-30,18.84,$-7.34,0.0
2021-06-30,15.35,$3.16,4.86
2021-03-31,10.9,$5.23,2.08
2020-12-31,9.19,$4.74,1.94
2020-09-30,5.33,$4.52,1.18
2020-06-30,3.28,$0.80,4.11
2020-03-31,2.86,$-1.41,0.0
2019-12-31,6.83,$0.91,7.49
2019-09-30,5.91,$1.86,3.19
2019-06-30,5.7,$6.44,0.89
2019-03-31,4.48,$5.80,0.77
2018-12-31,3.83,$6.80,0.56
2018-09-30,6.8,$-1.97,0.0
2018-06-30,8.16,$-4.43,0.0
2018-03-31,6.8,$2.09,3.26
2017-12-31,7.17,$0.07,99.63
2017-09-30,9.71,$11.63,0.83
2017-06-30,7.54,$12.15,0.62
2017-03-31,9.15,$12.03,0.76
2016-12-31,9.28,$11.85,0.78
2016-09-30,10.27,$13.47,0.76
2016-06-30,7.85,$4.15,1.89
2016-03-31,7.11,$-5.21,0.0
2015-12-31,16.08,$-6.08,0.0
2015-09-30,27.9,$-17.09,0.0
2015-06-30,34.24,$-9.98,0.0
2015-03-31,32.06,$-2.20,0.0
2014-12-31,26.62,$0.96,27.71
2014-09-30,23.72,$8.80,2.7
2014-06-30,24.37,$12.11,2.01
2014-03-31,25.73,$12.44,2.07
2013-12-31,35.55,$12.45,2.85
2013-09-30,30.64,$11.86,2.58
2013-06-30,23.54,$13.50,1.74
2013-03-31,26.62,$13.82,1.93
2012-12-31,17.39,$14.06,1.24
2012-09-30,20.17,$13.38,1.51
2012-06-30,18.93,$13.36,1.42
2012-03-31,20.7,$13.04,1.59
2011-12-31,10.71,$12.62,0.85
2011-09-30,12.42,$12.07,1.03
2011-06-30,31.52,$10.97,2.87
2011-03-31,41.64,$11.96,3.48
2010-12-31,29.28,$11.92,2.46
2010-09-30,15.5,$13.87,1.12
2010-06-30,16.26,$-0.03,0.0
2010-03-31,14.25,$-1.16,0.0
2009-12-31,8.52,$-1.54,0.0
