Lyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Lyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Lyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Lyra Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.17,,0.0
2024-12-31,0.21,$-1.11,0.0
2024-09-30,0.26,$-1.44,0.0
2024-06-30,0.28,$-1.28,0.0
2024-03-31,6.22,$-1.25,0.0
2023-12-31,5.24,$-1.29,0.0
2023-09-30,3.91,$-1.37,0.0
2023-06-30,4.11,$-1.53,0.0
2023-03-31,2.01,$-0.95,0.0
2022-12-31,3.14,$-1.44,0.0
2022-09-30,5.01,$-1.81,0.0
2022-06-30,5.65,$-2.39,0.0
2022-03-31,4.02,$-2.50,0.0
2021-12-31,4.36,$-2.25,0.0
2021-09-30,9.12,$-2.73,0.0
2021-06-30,8.03,$-1.71,0.0
2021-03-31,11.59,$-3.34,0.0
