Uranium Royalty Price to Free Cash Flow Ratio Historical Data,Uranium Royalty Price to Free Cash Flow Ratio Historical Data,Uranium Royalty Price to Free Cash Flow Ratio Historical Data,Uranium Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.95,,0.0
2025-01-31,2.38,$-0.30,0.0
2024-10-31,2.78,$-0.76,0.0
2024-07-31,2.41,$-0.77,0.0
2024-04-30,2.29,$-0.67,0.0
2024-01-31,3.38,$-0.60,0.0
2023-10-31,2.86,$-0.16,0.0
2023-07-31,2.28,$-0.06,0.0
2023-04-30,1.97,$-0.10,0.0
2023-01-31,2.83,$-0.21,0.0
2022-10-31,2.22,$-0.41,0.0
2022-07-31,2.91,$-0.67,0.0
2022-04-30,3.37,$-0.75,0.0
2022-01-31,3.25,$-0.75,0.0
2021-10-31,4.82,$-0.54,0.0
2021-07-31,2.93,$-0.27,0.0
2021-04-30,3.52,$-0.15,0.0
2021-01-31,0.98,$-0.07,0.0
