SITE CENTERS CORP Price to Free Cash Flow Ratio Historical Data,SITE CENTERS CORP Price to Free Cash Flow Ratio Historical Data,SITE CENTERS CORP Price to Free Cash Flow Ratio Historical Data,SITE CENTERS CORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.8,,0.34
2024-12-31,15.29,$37.15,0.41
2024-09-30,17.64,$50.61,0.35
2024-06-30,16.91,$30.76,0.55
2024-03-31,16.93,$17.50,0.97
2023-12-31,15.61,$15.03,1.04
2023-09-30,13.82,$5.41,2.56
2023-06-30,14.67,$3.93,3.73
2023-03-31,13.49,$1.96,6.87
2022-12-31,14.85,$0.17,86.72
2022-09-30,11.53,$-3.33,0.0
2022-06-30,14.35,$-3.47,0.0
2022-03-31,17.65,$-1.00,0.0
2021-12-31,16.58,$2.01,8.25
2021-09-30,16.05,$3.49,4.59
2021-06-30,15.54,$3.70,4.2
2021-03-31,13.88,$3.34,4.15
2020-12-31,10.28,$2.64,3.89
2020-09-30,7.28,$1.06,6.88
2020-06-30,8.19,$1.68,4.87
2020-03-31,5.27,$2.46,2.14
2019-12-31,13.89,$4.25,3.27
2019-09-30,14.75,$18.63,0.79
2019-06-30,12.75,$17.29,0.74
2019-03-31,12.92,$21.25,0.61
2018-12-31,10.34,$22.61,0.46
2018-09-30,12.31,$14.24,0.86
2018-06-30,13.46,$18.69,0.72
2018-03-31,10.79,$19.60,0.55
2017-12-31,12.83,$18.14,0.71
2017-09-30,12.8,$24.53,0.52
2017-06-30,12.42,$20.85,0.6
2017-03-31,16.81,$18.35,0.92
2016-12-31,20.19,$19.91,1.01
2016-09-30,22.77,$12.13,1.88
2016-06-30,23.44,$14.00,1.67
2016-03-31,22.74,$10.93,2.08
2015-12-31,21.29,$9.75,2.18
2015-09-30,19.24,$10.48,1.84
2015-06-30,19.12,$10.77,1.78
2015-03-31,22.79,$16.47,1.38
2014-12-31,22.26,$18.00,1.24
2014-09-30,20.11,$3.24,6.21
2014-06-30,20.99,$0.45,46.24
2014-03-31,19.45,$-6.21,0.0
2013-12-31,17.97,$-11.23,0.0
2013-09-30,18.2,$-2.21,0.0
2013-06-30,19.13,$-5.48,0.0
2013-03-31,19.86,$-3.21,0.0
2012-12-31,17.72,$-3.03,0.0
2012-09-30,17.24,$4.01,4.3
2012-06-30,16.31,$8.63,1.89
2012-03-31,16.12,$10.02,1.61
2011-12-31,13.33,$11.77,1.13
2011-09-30,11.85,$7.79,1.52
2011-06-30,15.25,$9.07,1.68
2011-03-31,15.09,$8.36,1.81
2010-12-31,15.15,$8.83,1.72
2010-09-30,12.04,$8.15,1.48
2010-06-30,10.61,$13.15,0.81
2010-03-31,13.02,$16.47,0.79
2009-12-31,9.89,$18.55,0.53
