Cognition Therapeutics Price to Free Cash Flow Ratio Historical Data,Cognition Therapeutics Price to Free Cash Flow Ratio Historical Data,Cognition Therapeutics Price to Free Cash Flow Ratio Historical Data,Cognition Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.7,$-0.72,0.0
2024-09-30,0.47,$-0.68,0.0
2024-06-30,1.66,$-0.65,0.0
2024-03-31,1.82,$-0.66,0.0
2023-12-31,1.85,$-0.54,0.0
2023-09-30,1.44,$-0.77,0.0
2023-06-30,1.83,$-0.63,0.0
2023-03-31,1.98,$-0.75,0.0
2022-12-31,2.1,$-0.79,0.0
2022-09-30,1.9,$-1.07,0.0
