Liberty Media - Liberty Formula One Series C Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series C Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series C Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series C Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,87.07,,inf
2024-12-31,92.66,0.0,0.0
2024-09-30,77.43,0.0,0.0
2024-06-30,71.84,0.0,0.0
2024-03-31,65.6,0.0,0.0
