Intrepid Potash Price to Free Cash Flow Ratio Historical Data,Intrepid Potash Price to Free Cash Flow Ratio Historical Data,Intrepid Potash Price to Free Cash Flow Ratio Historical Data,Intrepid Potash Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.0,,9.67
2024-12-31,21.92,$3.00,7.31
2024-09-30,24.0,$2.71,8.86
2024-06-30,23.43,$2.48,9.45
2024-03-31,20.86,$1.96,10.64
2023-12-31,23.89,$-1.70,0.0
2023-09-30,25.16,$-2.42,0.0
2023-06-30,22.69,$-3.17,0.0
2023-03-31,27.6,$-1.48,0.0
2022-12-31,28.87,$1.50,19.24
2022-09-30,39.57,$3.29,12.04
2022-06-30,45.29,$5.51,8.22
2022-03-31,82.14,$5.63,14.6
2021-12-31,42.73,$4.88,8.76
2021-09-30,30.9,$4.76,6.49
2021-06-30,31.86,$3.95,8.07
2021-03-31,32.56,$1.69,19.22
2020-12-31,24.15,$1.50,16.1
2020-09-30,8.44,$1.33,6.34
2020-06-30,9.9,$2.07,4.77
2020-03-31,8.0,$-0.10,0.0
2019-12-31,27.1,$-1.10,0.0
2019-09-30,32.7,$-1.19,0.0
2019-06-30,33.6,$-0.49,0.0
2019-03-31,37.9,$3.12,12.14
2018-12-31,26.0,$3.62,7.18
2018-09-30,35.9,$3.07,11.7
2018-06-30,41.0,$2.27,18.05
2018-03-31,36.4,$1.16,31.33
2017-12-31,47.6,$0.76,62.31
2017-09-30,43.6,$0.14,310.98
2017-06-30,22.6,$-2.01,0.0
2017-03-31,17.2,$-3.19,0.0
2016-12-31,20.8,$-4.30,0.0
2016-09-30,11.3,$-7.62,0.0
2016-06-30,14.4,$-9.37,0.0
2016-03-31,11.1,$-7.19,0.0
2015-12-31,29.5,$-3.08,0.0
2015-09-30,55.4,$3.01,18.41
2015-06-30,119.4,$12.06,9.9
2015-03-31,115.5,$13.80,8.37
2014-12-31,138.8,$8.69,15.97
2014-09-30,154.5,$-0.81,0.0
2014-06-30,167.6,$-12.27,0.0
2014-03-31,154.6,$-19.17,0.0
2013-12-31,158.4,$-23.80,0.0
2013-09-30,156.8,$-20.54,0.0
2013-06-30,190.5,$-19.44,0.0
2013-03-31,187.6,$-14.23,0.0
2012-12-31,212.9,$-7.77,0.0
2012-09-30,207.58,$-2.50,0.0
2012-06-30,219.95,$4.48,49.13
2012-03-31,235.12,$4.84,48.54
2011-12-31,218.69,$4.88,44.79
2011-09-30,240.34,$5.89,40.78
2011-06-30,314.07,$2.63,119.3
2011-03-31,336.49,$1.66,202.16
2010-12-31,360.36,$4.64,77.6
2010-09-30,251.93,$3.00,83.95
2010-06-30,189.12,$0.97,194.11
2010-03-31,293.1,$1.96,149.29
2009-12-31,281.89,$-2.71,0.0
