New Pacific Metals Price to Free Cash Flow Ratio Historical Data,New Pacific Metals Price to Free Cash Flow Ratio Historical Data,New Pacific Metals Price to Free Cash Flow Ratio Historical Data,New Pacific Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2024-12-31,1.18,$-0.04,0.0
2024-09-30,1.49,$-0.04,0.0
2024-06-30,1.5,$-0.05,0.0
2024-03-31,1.34,$-0.08,0.0
2023-12-31,1.91,$-0.11,0.0
2023-09-30,1.77,$-0.14,0.0
2023-06-30,2.18,$-0.14,0.0
2023-03-31,2.69,$-0.14,0.0
2022-12-31,2.25,$-0.12,0.0
2022-09-30,2.12,$-0.10,0.0
2022-06-30,2.87,$-0.10,0.0
2022-03-31,3.18,$-0.13,0.0
