SunOpta Price to Free Cash Flow Ratio Historical Data,SunOpta Price to Free Cash Flow Ratio Historical Data,SunOpta Price to Free Cash Flow Ratio Historical Data,SunOpta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.37,,25.0
2024-12-31,7.7,$0.21,35.85
2024-09-30,6.38,$-0.09,0.0
2024-06-30,5.4,$-0.31,0.0
2024-03-31,6.87,$-0.07,0.0
2023-12-31,5.47,$-0.27,0.0
2023-09-30,3.37,$-0.23,0.0
2023-06-30,6.69,$-0.25,0.0
2023-03-31,7.7,$-0.67,0.0
2022-12-31,8.44,$-0.56,0.0
2022-09-30,9.1,$-0.56,0.0
2022-06-30,7.78,$-0.53,0.0
2022-03-31,5.02,$-0.62,0.0
2021-12-31,6.95,$-0.69,0.0
2021-09-30,8.93,$-0.29,0.0
2021-06-30,12.24,$-0.09,0.0
2021-03-31,14.77,$0.30,49.83
2020-12-31,11.67,$0.74,15.69
2020-09-30,7.42,$0.72,10.28
2020-06-30,4.7,$0.59,7.99
2020-03-31,1.72,$0.15,11.37
2019-12-31,2.5,$-0.21,0.0
2019-09-30,1.8,$-0.55,0.0
2019-06-30,3.29,$-0.47,0.0
2019-03-31,3.46,$-0.51,0.0
2018-12-31,3.87,$-0.42,0.0
2018-09-30,7.35,$-0.09,0.0
2018-06-30,8.4,$-0.32,0.0
2018-03-31,7.1,$-0.19,0.0
2017-12-31,7.75,$-0.08,0.0
2017-09-30,8.7,$-0.12,0.0
2017-06-30,10.2,$0.21,48.25
2017-03-31,6.95,$0.14,51.48
2016-12-31,7.05,$-0.24,0.0
2016-09-30,7.06,$-0.35,0.0
2016-06-30,4.19,$-0.24,0.0
2016-03-31,4.46,$0.01,377.97
2015-12-31,6.84,$0.02,414.55
2015-09-30,4.86,$-0.49,0.0
2015-06-30,10.73,$-0.45,0.0
2015-03-31,10.62,$0.18,60.17
2014-12-31,11.85,$0.19,62.43
2014-09-30,12.07,$0.56,21.49
2014-06-30,14.08,$0.28,50.12
2014-03-31,11.81,$-0.00,0.0
2013-12-31,10.01,$0.02,568.75
2013-09-30,9.72,$-0.26,0.0
2013-06-30,7.59,$-0.09,0.0
2013-03-31,7.2,$0.09,80.63
2012-12-31,5.63,$0.12,45.51
2012-09-30,6.39,$0.26,24.56
2012-06-30,5.61,$0.17,33.69
2012-03-31,5.47,$0.11,50.18
2011-12-31,4.82,$-0.27,0.0
2011-09-30,4.93,$-0.28,0.0
2011-06-30,7.11,$-0.18,0.0
2011-03-31,7.43,$-0.25,0.0
2010-12-31,7.82,$0.01,0.0
2010-09-30,6.09,$0.26,23.05
2010-06-30,4.38,$0.20,22.08
2010-03-31,4.15,$0.28,14.6
2009-12-31,3.36,$0.43,7.83
