Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,141.73,,13.31
2024-12-31,155.33,$10.65,14.58
2024-09-30,122.01,$9.19,13.28
2024-06-30,122.71,$8.97,13.68
2024-03-31,127.49,$4.38,29.09
2023-12-31,110.3,$-0.34,0.0
2023-09-30,98.95,$-17.00,0.0
2023-06-30,101.82,$-39.91,0.0
2023-03-31,91.15,$-11.87,0.0
2022-12-31,103.95,$-3.58,0.0
2022-09-30,95.76,$-0.09,0.0
2022-06-30,86.34,$42.33,2.04
2022-03-31,105.41,$22.25,4.74
2021-12-31,95.97,$11.22,8.55
2021-09-30,88.21,$31.12,2.83
2021-06-30,82.55,$16.21,5.09
2021-03-31,77.65,$8.39,9.25
2020-12-31,60.17,$25.42,2.37
2020-09-30,45.76,$18.78,2.44
2020-06-30,43.07,$15.21,2.83
2020-03-31,39.34,$15.78,2.49
2019-12-31,55.36,$3.54,15.64
2019-09-30,50.82,$2.03,25.0
2019-06-30,51.89,$1.85,28.1
2019-03-31,49.15,$0.78,62.91
2018-12-31,45.09,$2.52,17.88
2018-09-30,55.77,$3.36,16.6
2018-06-30,53.96,$-6.19,0.0
2018-03-31,53.82,$-3.18,0.0
2017-12-31,53.45,$-3.03,0.0
2017-09-30,50.48,$-1.43,0.0
2017-06-30,47.89,$2.71,17.68
2017-03-31,45.4,$1.47,30.84
2016-12-31,41.12,$-0.85,0.0
2016-09-30,34.45,$-3.21,0.0
2016-06-30,29.07,$1.30,22.38
2016-03-31,27.96,$1.63,17.17
2015-12-31,33.9,$3.71,9.14
2015-09-30,28.93,$3.77,7.68
2015-06-30,34.6,$2.07,16.68
2015-03-31,32.87,$3.21,10.25
2014-12-31,33.06,$3.10,10.67
2014-09-30,30.83,$2.08,14.84
2014-06-30,29.1,$3.03,9.61
2014-03-31,31.98,$2.65,12.09
2013-12-31,29.76,$1.75,17.01
2013-09-30,23.69,$2.78,8.51
2013-06-30,24.35,$2.44,10.0
2013-03-31,26.03,$2.01,12.98
2012-12-31,21.69,$2.82,7.69
2012-09-30,20.56,$1.59,12.95
2012-06-30,19.14,$3.34,5.74
2012-03-31,20.34,$2.41,8.44
2011-12-31,17.17,$1.48,11.63
2011-09-30,14.34,$8.26,1.74
2011-06-30,17.68,$-0.11,0.0
2011-03-31,20.94,$0.59,35.6
2010-12-31,17.85,$1.59,11.23
2010-09-30,13.77,$-5.82,0.0
2010-06-30,13.36,$-0.19,0.0
2010-03-31,14.41,$0.70,20.48
2009-12-31,12.76,$1.12,11.43
