Portillo's Price to Free Cash Flow Ratio Historical Data,Portillo's Price to Free Cash Flow Ratio Historical Data,Portillo's Price to Free Cash Flow Ratio Historical Data,Portillo's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.36,,79.69
2024-12-31,9.4,$0.16,60.61
2024-09-30,13.47,$0.01,0.0
2024-06-30,9.72,$-0.07,0.0
2024-03-31,14.18,$-0.15,0.0
2023-12-31,15.93,$-0.30,0.0
2023-09-30,15.39,$-0.05,0.0
2023-06-30,22.53,$-0.16,0.0
2023-03-31,21.37,$0.09,232.28
2022-12-31,16.32,$0.23,70.62
2022-09-30,19.69,$0.40,49.04
