Pure Cycle Price to Free Cash Flow Ratio Historical Data,Pure Cycle Price to Free Cash Flow Ratio Historical Data,Pure Cycle Price to Free Cash Flow Ratio Historical Data,Pure Cycle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.63,,36.58
2024-11-30,14.54,$0.29,50.03
2024-08-31,10.65,$-0.02,0.0
2024-05-31,9.3,$-0.14,0.0
2024-02-29,9.97,$0.06,156.03
2023-11-30,10.0,$-0.23,0.0
2023-08-31,10.99,$-0.18,0.0
2023-05-31,9.72,$1.10,8.82
2023-02-28,8.83,$0.94,9.4
2022-11-30,10.61,$0.93,11.4
2022-08-31,10.32,$0.68,15.16
2022-05-31,11.3,$-0.47,0.0
2022-02-28,11.85,$-0.51,0.0
2021-11-30,14.56,$-0.18,0.0
2021-08-31,14.95,$0.13,117.25
2021-05-31,14.14,$0.23,61.4
2021-02-28,11.76,$0.16,73.82
2020-11-30,9.54,$0.23,42.36
2020-08-31,9.76,$0.84,11.66
2020-05-31,10.16,$0.87,11.68
2020-02-29,12.37,$0.96,12.95
2019-11-30,12.42,$0.98,12.63
2019-08-31,10.85,$0.13,82.01
2019-05-31,9.42,$-0.19,0.0
2019-02-28,10.14,$-0.23,0.0
2018-11-30,10.5,$-0.41,0.0
2018-08-31,11.25,$-0.19,0.0
2018-05-31,9.35,$-0.36,0.0
2018-02-28,7.95,$-0.36,0.0
2017-11-30,6.95,$-0.29,0.0
2017-08-31,7.25,$-0.27,0.0
2017-05-31,7.8,$-0.04,0.0
2017-02-28,5.15,$-0.03,0.0
2016-11-30,4.95,$0.00,0.0
2016-08-31,4.84,$-0.03,0.0
2016-05-31,4.49,$-0.05,0.0
2016-02-29,4.64,$-0.04,0.0
2015-11-30,5.07,$-0.11,0.0
2015-08-31,5.0,$-0.04,0.0
2015-05-31,5.24,$-0.20,0.0
2015-02-28,4.61,$-0.00,0.0
2014-11-30,5.28,$0.03,161.47
2014-08-31,6.52,$0.01,652.0
2014-05-31,5.72,$0.17,32.8
2014-02-28,6.26,$-0.06,0.0
2013-11-30,7.06,$-0.07,0.0
2013-08-31,5.2,$-0.07,0.0
2013-05-31,6.62,$-0.07,0.0
2013-02-28,4.01,$-0.07,0.0
2012-11-30,2.53,$-0.07,0.0
2012-08-31,2.0,$-0.08,0.0
2012-05-31,2.21,$-0.38,0.0
2012-02-29,2.06,$-0.32,0.0
2011-11-30,1.88,$-0.32,0.0
2011-08-31,2.96,$-0.32,0.0
2011-05-31,3.42,$-0.03,0.0
2011-02-28,4.02,$-0.08,0.0
2010-11-30,3.49,$-0.08,0.0
2010-08-31,3.01,$-0.09,0.0
2010-05-31,2.78,$-0.07,0.0
2010-02-28,2.46,$-0.12,0.0
2009-11-30,2.51,$-0.09,0.0
