Enerflex Price to Free Cash Flow Ratio Historical Data,Enerflex Price to Free Cash Flow Ratio Historical Data,Enerflex Price to Free Cash Flow Ratio Historical Data,Enerflex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.64,,3.08
2024-12-31,9.95,$2.48,4.01
2024-09-30,5.96,$3.14,1.9
2024-06-30,5.4,$2.75,1.96
2024-03-31,5.83,$2.56,2.28
2023-12-31,4.67,$1.58,2.95
2023-09-30,5.73,$-0.81,0.0
