Ceva Price to Free Cash Flow Ratio Historical Data,Ceva Price to Free Cash Flow Ratio Historical Data,Ceva Price to Free Cash Flow Ratio Historical Data,Ceva Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.19,,2280.47
2024-12-31,31.55,$0.01,2464.84
2024-09-30,24.15,$1.19,20.31
2024-06-30,19.29,$1.13,17.05
2024-03-31,22.71,$0.80,28.24
2023-12-31,22.71,$0.91,24.95
2023-09-30,19.39,$-0.44,0.0
2023-06-30,25.55,$-0.31,0.0
2023-03-31,30.43,$-0.46,0.0
2022-12-31,25.58,$0.15,173.07
2022-09-30,26.23,$0.46,57.02
2022-06-30,33.56,$0.69,48.73
2022-03-31,40.65,$0.77,52.49
2021-12-31,43.24,$1.02,42.58
2021-09-30,42.67,$0.87,48.88
2021-06-30,47.3,$0.35,134.26
2021-03-31,56.15,$0.92,60.75
2020-12-31,45.5,$0.55,82.26
2020-09-30,39.37,$0.47,84.45
2020-06-30,37.42,$0.79,47.18
2020-03-31,24.93,$0.35,71.33
2019-12-31,26.96,$0.28,96.87
2019-09-30,29.86,$0.26,116.23
2019-06-30,24.35,$0.16,151.34
2019-03-31,26.96,$0.36,74.93
2018-12-31,22.09,$0.24,93.92
2018-09-30,28.75,$0.32,89.73
2018-06-30,30.2,$0.60,49.95
2018-03-31,36.2,$0.74,48.75
2017-12-31,46.15,$0.90,51.2
2017-09-30,42.8,$1.20,35.79
2017-06-30,45.45,$1.02,44.48
2017-03-31,35.5,$0.79,45.11
2016-12-31,33.55,$0.56,59.93
2016-09-30,35.07,$0.50,70.52
2016-06-30,27.17,$0.65,41.83
2016-03-31,22.5,$0.86,26.13
2015-12-31,23.36,$0.82,28.51
2015-09-30,18.57,$0.44,42.68
2015-06-30,19.43,$0.39,49.71
2015-03-31,21.32,$0.10,204.61
2014-12-31,18.14,$0.37,48.63
2014-09-30,13.44,$0.74,18.14
2014-06-30,14.77,$0.59,24.91
2014-03-31,17.56,$0.77,22.73
2013-12-31,15.22,$0.57,26.68
2013-09-30,17.25,$0.32,54.16
2013-06-30,19.36,$0.39,49.55
2013-03-31,15.6,$0.56,28.03
2012-12-31,15.75,$0.77,20.5
2012-09-30,14.38,$0.91,15.86
2012-06-30,17.61,$0.95,18.46
2012-03-31,22.71,$0.92,24.76
2011-12-31,30.26,$1.11,27.37
2011-09-30,24.31,$0.98,24.87
2011-06-30,30.46,$1.01,30.26
2011-03-31,26.73,$0.98,27.21
2010-12-31,20.5,$0.69,29.59
2010-09-30,14.3,$0.62,22.97
2010-06-30,12.6,$0.49,25.64
2010-03-31,11.66,$0.36,32.75
2009-12-31,12.86,$0.28,46.51
