ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.8,,27.94
2024-12-31,93.32,$2.57,36.31
2024-09-30,108.33,$3.70,29.26
2024-06-30,106.85,$4.56,23.44
2024-03-31,142.04,$2.44,58.11
2023-12-31,119.72,$3.98,30.12
2023-09-30,101.13,$4.44,22.79
2023-06-30,98.19,$8.11,12.1
2023-03-31,91.72,$13.27,6.91
2022-12-31,69.43,$12.74,5.45
2022-09-30,71.98,$13.31,5.41
2022-06-30,69.54,$10.43,6.67
2022-03-31,79.43,$7.87,10.09
2021-12-31,118.15,$9.67,12.22
2021-09-30,80.55,$8.39,9.6
2021-06-30,57.25,$8.10,7.07
2021-03-31,69.17,$6.09,11.35
2020-12-31,41.88,$6.13,6.84
2020-09-30,30.42,$5.54,5.49
2020-06-30,25.89,$4.24,6.1
2020-03-31,17.04,$4.53,3.76
2019-12-31,26.75,$3.08,8.69
2019-09-30,29.44,$5.29,5.56
2019-06-30,27.1,$5.69,4.77
2019-03-31,29.6,$6.04,4.9
2018-12-31,32.87,$7.70,4.27
2018-09-30,46.48,$6.06,7.67
2018-06-30,43.68,$5.59,7.81
2018-03-31,30.58,$4.37,7.0
2017-12-31,34.03,$3.05,11.16
2017-09-30,31.76,$1.78,17.81
2017-06-30,19.5,$1.36,14.32
2017-03-31,24.5,$1.21,20.26
2016-12-31,25.99,$1.60,16.25
2016-09-30,17.83,$1.83,9.73
2016-06-30,15.16,$2.22,6.82
2016-03-31,20.05,$2.80,7.16
2015-12-31,19.78,$2.59,7.62
2015-09-30,23.76,$2.94,8.07
2015-06-30,29.26,$3.98,7.35
2015-03-31,34.81,$3.92,8.89
2014-12-31,42.54,$4.03,10.55
2014-09-30,34.17,$3.99,8.57
2014-06-30,39.82,$3.27,12.19
2014-03-31,33.79,$2.45,13.79
2013-12-31,30.77,$2.40,12.83
2013-09-30,23.43,$3.10,7.55
2013-06-30,20.92,$2.66,7.86
2013-03-31,10.61,$1.54,6.9
2012-12-31,8.65,$1.82,4.76
2012-09-30,7.16,$0.91,7.86
2012-06-30,11.35,$1.14,9.97
2012-03-31,16.9,$2.40,7.04
2011-12-31,17.29,$1.94,8.89
2011-09-30,14.47,$1.60,9.02
2011-06-30,21.23,$0.62,34.31
2011-03-31,23.16,$0.57,40.99
2010-12-31,24.47,$0.65,37.61
2010-09-30,21.6,$-0.38,0.0
2010-06-30,18.47,$-0.40,0.0
2010-03-31,26.57,$-0.94,0.0
2009-12-31,26.14,$-1.46,0.0
