Saga Communications Price to Free Cash Flow Ratio Historical Data,Saga Communications Price to Free Cash Flow Ratio Historical Data,Saga Communications Price to Free Cash Flow Ratio Historical Data,Saga Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.57,,8.75
2024-09-30,14.09,$1.44,9.81
2024-06-30,15.19,$1.88,8.07
2024-03-31,21.22,$1.89,11.22
2023-12-31,20.41,$2.11,9.66
2023-09-30,17.75,$2.15,8.24
2023-06-30,17.66,$1.96,9.0
2023-03-31,18.16,$1.87,9.69
2022-12-31,19.06,$1.93,9.86
2022-09-30,19.4,$2.29,8.47
2022-06-30,16.97,$1.89,9.0
2022-03-31,15.73,$2.50,6.29
2021-12-31,16.26,$2.58,6.3
2021-09-30,14.62,$2.51,5.83
2021-06-30,14.07,$1.82,7.74
2021-03-31,14.1,$2.08,6.77
2020-12-31,15.5,$1.95,7.94
2020-09-30,12.83,$2.28,5.64
2020-06-30,16.52,$3.22,5.13
2020-03-31,17.75,$3.22,5.51
2019-12-31,19.39,$3.41,5.69
2019-09-30,18.79,$3.51,5.36
2019-06-30,19.54,$3.31,5.9
2019-03-31,20.56,$3.80,5.4
2018-12-31,20.4,$3.42,5.96
2018-09-30,21.84,$-0.12,0.0
2018-06-30,23.08,$0.00,0.0
2018-03-31,22.16,$-0.28,0.0
2017-12-31,23.87,$-0.08,0.0
2017-09-30,26.22,$3.92,6.69
2017-06-30,26.13,$4.60,5.68
2017-03-31,28.98,$4.30,6.74
2016-12-31,28.38,$4.68,6.06
2016-09-30,25.31,$5.01,5.05
2016-06-30,21.92,$4.32,5.07
2016-03-31,22.08,$4.31,5.12
2015-12-31,21.06,$4.39,4.79
2015-09-30,18.3,$3.08,5.95
2015-06-30,20.48,$3.76,5.44
2015-03-31,23.87,$3.52,6.79
2014-12-31,23.3,$3.47,6.71
2014-09-30,17.3,$3.97,4.36
2014-06-30,21.9,$3.94,5.55
2014-03-31,25.47,$3.86,6.6
2013-12-31,25.78,$3.89,6.63
2013-09-30,21.98,$4.42,4.98
2013-06-30,22.74,$3.95,5.76
2013-03-31,22.91,$4.42,5.19
2012-12-31,17.27,$4.62,3.74
2012-09-30,14.47,$4.36,3.32
2012-06-30,13.25,$4.51,2.94
2012-03-31,12.78,$4.44,2.88
2011-12-31,13.34,$3.94,3.39
2011-09-30,10.54,$4.07,2.59
2011-06-30,13.21,$3.90,3.38
2011-03-31,12.4,$3.88,3.19
2010-12-31,9.28,$4.20,2.21
2010-09-30,7.25,$3.91,1.85
2010-06-30,8.53,$4.03,2.11
2010-03-31,8.08,$4.25,1.9
2009-12-31,4.48,$3.82,1.17
