ECARX Holdings Price to Free Cash Flow Ratio Historical Data,ECARX Holdings Price to Free Cash Flow Ratio Historical Data,ECARX Holdings Price to Free Cash Flow Ratio Historical Data,ECARX Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.71,,0.0
2024-09-30,1.91,$-0.54,0.0
2024-06-30,2.06,$-0.74,0.0
2024-03-31,1.96,$-0.54,0.0
2023-12-31,3.16,$-0.54,0.0
2023-09-30,3.1,$-0.19,0.0
2023-06-30,6.96,$-0.32,0.0
2023-03-31,5.84,$-0.32,0.0
2022-12-31,7.99,$-0.32,0.0
2022-09-30,9.95,$-0.17,0.0
2022-06-30,9.83,$-0.06,0.0
2022-03-31,9.8,$-0.06,0.0
2021-12-31,9.76,$-0.29,0.0
