USCB Financial Holdings Price to Free Cash Flow Ratio Historical Data,USCB Financial Holdings Price to Free Cash Flow Ratio Historical Data,USCB Financial Holdings Price to Free Cash Flow Ratio Historical Data,USCB Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.19,,11.27
2024-12-31,17.75,$1.70,10.42
2024-09-30,15.25,$1.55,9.84
2024-06-30,12.83,$1.42,9.05
2024-03-31,11.4,$1.09,10.46
2023-12-31,12.25,$1.14,10.77
2023-09-30,10.51,$1.32,7.96
2023-06-30,10.2,$1.47,6.95
2023-03-31,9.89,$1.61,6.14
2022-12-31,12.2,$1.43,8.53
2022-09-30,13.11,$2.66,4.94
2022-06-30,11.54,$3.18,3.62
