OncoCyte Price to Free Cash Flow Ratio Historical Data,OncoCyte Price to Free Cash Flow Ratio Historical Data,OncoCyte Price to Free Cash Flow Ratio Historical Data,OncoCyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.3,,0.0
2024-09-30,2.85,$-1.93,0.0
2024-06-30,2.95,$-1.96,0.0
2024-03-31,2.93,$-2.11,0.0
2023-12-31,2.5,$-3.04,0.0
2023-09-30,3.12,$-4.60,0.0
2023-06-30,4.6,$-6.05,0.0
2023-03-31,7.09,$-7.18,0.0
2022-12-31,6.42,$-9.01,0.0
2022-09-30,14.6,$-8.52,0.0
2022-06-30,17.99,$-9.09,0.0
2022-03-31,29.8,$-9.21,0.0
2021-12-31,43.4,$-8.59,0.0
2021-09-30,71.2,$-8.81,0.0
2021-06-30,114.8,$-8.26,0.0
2021-03-31,103.8,$-8.66,0.0
2020-12-31,47.8,$-8.31,0.0
2020-09-30,27.8,$-8.71,0.0
2020-06-30,38.2,$-8.72,0.0
2020-03-31,49.0,$-7.41,0.0
2019-12-31,45.0,$-8.04,0.0
2019-09-30,42.0,$-7.14,0.0
2019-06-30,49.8,$-6.38,0.0
2019-03-31,79.0,$-7.31,0.0
2018-12-31,27.6,$-6.17,0.0
2018-09-30,50.0,$-6.97,0.0
2018-06-30,51.0,$-7.90,0.0
2018-03-31,42.0,$-8.38,0.0
2017-12-31,93.0,$-8.93,0.0
2017-09-30,151.0,$-8.51,0.0
2017-06-30,104.0,$-7.12,0.0
2017-03-31,119.0,$-6.32,0.0
2016-12-31,141.0,$-5.75,0.0
