Anghami Price to Free Cash Flow Ratio Historical Data,Anghami Price to Free Cash Flow Ratio Historical Data,Anghami Price to Free Cash Flow Ratio Historical Data,Anghami Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2021-12-31,10.17,$-0.95,0.0
2021-09-30,10.07,$-0.27,0.0
2021-06-30,9.99,$-0.18,0.0
