Voyager Therapeutics Price to Free Cash Flow Ratio Historical Data,Voyager Therapeutics Price to Free Cash Flow Ratio Historical Data,Voyager Therapeutics Price to Free Cash Flow Ratio Historical Data,Voyager Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.88,,0.0
2024-12-31,5.67,$-0.33,0.0
2024-09-30,5.85,$-0.66,0.0
2024-06-30,7.91,$-0.69,0.0
2024-03-31,9.31,$-0.25,0.0
2023-12-31,8.44,$1.68,5.04
2023-09-30,7.75,$1.92,4.04
2023-06-30,11.45,$2.01,5.7
2023-03-31,7.71,$1.63,4.74
2022-12-31,6.1,$-0.39,0.0
2022-09-30,5.92,$0.24,24.41
2022-06-30,5.91,$0.11,52.72
2022-03-31,7.62,$0.02,320.17
2021-12-31,2.71,$-1.46,0.0
2021-09-30,2.63,$-2.45,0.0
2021-06-30,4.13,$-2.66,0.0
2021-03-31,4.71,$-2.67,0.0
2020-12-31,7.15,$-2.91,0.0
2020-09-30,10.67,$-2.91,0.0
2020-06-30,12.62,$-2.68,0.0
2020-03-31,9.15,$-3.40,0.0
2019-12-31,13.95,$1.15,12.18
2019-09-30,17.21,$1.07,16.06
2019-06-30,27.22,$1.03,26.33
2019-03-31,19.14,$1.61,11.86
2018-12-31,9.4,$-0.63,0.0
2018-09-30,18.92,$-0.37,0.0
2018-06-30,19.54,$-0.40,0.0
2018-03-31,18.79,$-0.29,0.0
2017-12-31,16.6,$-2.44,0.0
2017-09-30,20.59,$-2.60,0.0
2017-06-30,8.96,$-2.40,0.0
2017-03-31,13.24,$-2.15,0.0
2016-12-31,12.74,$-1.88,0.0
2016-09-30,12.01,$8.40,1.43
