Regional Management Price to Free Cash Flow Ratio Historical Data,Regional Management Price to Free Cash Flow Ratio Historical Data,Regional Management Price to Free Cash Flow Ratio Historical Data,Regional Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.68,,1.16
2024-12-31,33.98,$26.50,1.28
2024-09-30,32.38,$26.95,1.2
2024-06-30,28.18,$26.73,1.05
2024-03-31,23.49,$26.08,0.9
2023-12-31,24.01,$25.48,0.94
2023-09-30,26.15,$24.17,1.08
2023-06-30,28.5,$23.22,1.23
2023-03-31,24.11,$23.47,1.03
2022-12-31,25.71,$22.62,1.14
2022-09-30,25.41,$22.02,1.15
2022-06-30,33.6,$20.76,1.62
2022-03-31,43.38,$18.75,2.31
2021-12-31,51.03,$17.42,2.93
2021-09-30,51.46,$15.85,3.25
2021-06-30,40.98,$14.82,2.77
2021-03-31,30.35,$13.71,2.21
2020-12-31,25.99,$14.45,1.8
2020-09-30,14.38,$14.40,1.0
2020-06-30,15.29,$15.00,1.02
2020-03-31,11.79,$14.39,0.82
2019-12-31,25.93,$12.95,2.0
2019-09-30,24.31,$12.79,1.9
2019-06-30,22.77,$12.20,1.87
2019-03-31,21.08,$11.53,1.83
2018-12-31,20.76,$11.67,1.78
2018-09-30,24.89,$11.08,2.25
2018-06-30,30.23,$9.99,3.03
2018-03-31,27.49,$9.64,2.85
2017-12-31,22.71,$9.44,2.41
2017-09-30,20.9,$9.17,2.28
2017-06-30,20.4,$9.00,2.27
2017-03-31,16.78,$8.76,1.91
2016-12-31,22.69,$7.82,2.9
2016-09-30,18.69,$6.94,2.69
2016-06-30,12.66,$6.45,1.96
2016-03-31,14.77,$6.01,2.46
2015-12-31,13.36,$6.12,2.18
2015-09-30,13.38,$6.20,2.16
2015-06-30,15.42,$6.28,2.46
2015-03-31,12.74,$6.06,2.1
2014-12-31,13.65,$6.37,2.14
2014-09-30,15.5,$6.43,2.41
2014-06-30,13.36,$6.00,2.23
2014-03-31,21.29,$5.92,3.59
2013-12-31,29.29,$5.31,5.52
2013-09-30,27.45,$5.13,5.35
2013-06-30,21.58,$4.66,4.64
2013-03-31,17.44,$4.63,3.77
2012-12-31,14.29,$4.65,3.07
