Superior Industries Price to Free Cash Flow Ratio Historical Data,Superior Industries Price to Free Cash Flow Ratio Historical Data,Superior Industries Price to Free Cash Flow Ratio Historical Data,Superior Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.49,,0.0
2024-12-31,2.04,$-0.35,0.0
2024-09-30,3.04,$0.17,17.84
2024-06-30,3.25,$0.54,6.05
2024-03-31,2.9,$-0.12,0.0
2023-12-31,3.2,$0.83,3.83
2023-09-30,3.04,$2.06,1.48
2023-06-30,3.6,$2.24,1.61
2023-03-31,4.95,$3.31,1.49
2022-12-31,4.22,$3.46,1.22
2022-09-30,3.02,$2.70,1.12
2022-06-30,3.95,$-0.08,0.0
2022-03-31,4.66,$0.22,21.35
2021-12-31,4.48,$-0.49,0.0
2021-09-30,7.05,$-0.26,0.0
2021-06-30,8.62,$5.76,1.5
2021-03-31,5.68,$3.75,1.51
2020-12-31,4.09,$4.15,0.98
2020-09-30,1.25,$4.04,0.31
2020-06-30,1.7,$1.13,1.51
2020-03-31,1.2,$4.01,0.3
2019-12-31,3.69,$3.93,0.94
2019-09-30,2.89,$4.94,0.58
2019-06-30,3.37,$5.04,0.67
2019-03-31,4.57,$4.06,1.13
2018-12-31,4.54,$3.12,1.45
2018-09-30,15.99,$1.65,9.67
2018-06-30,16.7,$1.03,16.21
2018-03-31,12.33,$0.11,112.79
2017-12-31,13.69,$-0.29,0.0
2017-09-30,15.26,$-0.25,0.0
2017-06-30,18.84,$-0.18,0.0
2017-03-31,23.14,$0.57,40.29
2016-12-31,23.72,$1.69,14.0
2016-09-30,26.09,$0.85,30.62
2016-06-30,23.96,$0.94,25.39
2016-03-31,19.62,$1.73,11.37
2015-12-31,16.24,$0.81,20.0
2015-09-30,16.16,$-0.18,0.0
2015-06-30,15.68,$-1.56,0.0
2015-03-31,16.21,$-2.87,0.0
2014-12-31,16.79,$-3.67,0.0
2014-09-30,14.58,$-2.29,0.0
2014-06-30,17.01,$-1.86,0.0
2014-03-31,16.75,$-0.54,0.0
2013-12-31,16.87,$0.05,365.14
2013-09-30,14.45,$-0.58,0.0
2013-06-30,13.81,$0.55,25.29
2013-03-31,14.99,$0.61,24.5
2012-12-31,16.37,$1.56,10.5
2012-09-30,13.27,$2.89,4.59
2012-06-30,12.59,$2.81,4.48
2012-03-31,14.77,$1.02,14.48
2011-12-31,12.39,$1.86,6.68
2011-09-30,11.57,$1.01,11.44
2011-06-30,16.38,$0.71,23.18
2011-03-31,18.74,$1.95,9.61
2010-12-31,15.51,$0.79,19.54
2010-09-30,12.53,$0.38,33.29
2010-06-30,9.66,$-0.53,0.0
2010-03-31,11.32,$-0.32,0.0
2009-12-31,10.77,$0.55,19.5
