ClearOne Price to Free Cash Flow Ratio Historical Data,ClearOne Price to Free Cash Flow Ratio Historical Data,ClearOne Price to Free Cash Flow Ratio Historical Data,ClearOne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.62,$-0.05,0.0
2024-06-30,0.65,$-0.05,0.0
2024-03-31,1.24,$-0.24,0.0
2023-12-31,0.73,$2.26,0.32
2023-09-30,0.51,$2.04,0.25
2023-06-30,0.56,$2.13,0.26
2023-03-31,0.54,$2.37,0.23
2022-12-31,0.54,$-0.20,0.0
2022-09-30,0.19,$-0.39,0.0
2022-06-30,0.19,$-0.64,0.0
2022-03-31,0.33,$-0.59,0.0
2021-12-31,0.46,$-0.63,0.0
2021-09-30,0.84,$-0.45,0.0
2021-06-30,0.98,$-0.35,0.0
2021-03-31,1.29,$-0.48,0.0
2020-12-31,0.81,$-0.46,0.0
2020-09-30,0.82,$-0.36,0.0
2020-06-30,0.72,$-0.61,0.0
2020-03-31,0.6,$-0.52,0.0
2019-12-31,0.59,$-0.60,0.0
2019-09-30,0.65,$-1.01,0.0
2019-06-30,0.8,$-1.00,0.0
2019-03-31,0.72,$-1.26,0.0
2018-12-31,0.45,$-1.30,0.0
2018-09-30,0.79,$-1.26,0.0
2018-06-30,1.38,$-1.36,0.0
2018-03-31,2.85,$-1.44,0.0
2017-12-31,3.18,$-1.42,0.0
2017-09-30,2.62,$-1.05,0.0
2017-06-30,3.28,$-0.10,0.0
2017-03-31,3.44,$0.38,8.99
2016-12-31,3.92,$0.76,5.14
2016-09-30,3.85,$0.85,4.53
2016-06-30,3.82,$0.73,5.2
2016-03-31,3.94,$0.67,5.9
2015-12-31,4.37,$0.75,5.8
2015-09-30,3.96,$0.74,5.37
2015-06-30,4.32,$0.68,6.37
2015-03-31,3.56,$0.58,6.17
2014-12-31,3.26,$0.63,5.15
2014-09-30,2.79,$0.48,5.81
2014-06-30,3.25,$0.47,6.93
2014-03-31,3.39,$0.51,6.67
2013-12-31,2.9,$-1.16,0.0
2013-09-30,2.68,$3.36,0.8
2013-06-30,2.81,$3.50,0.8
2013-03-31,2.87,$3.54,0.81
2012-12-31,1.33,$4.70,0.28
2012-09-30,1.34,$0.66,2.04
2012-06-30,1.35,$0.38,3.54
2012-03-31,1.49,$0.20,7.33
2011-12-31,1.43,$0.58,2.44
2011-09-30,1.63,$0.18,8.93
2011-06-30,2.17,$0.09,24.4
2011-03-31,2.23,$0.45,4.98
2010-12-31,1.27,$0.40,3.16
2010-09-30,1.13,$0.61,1.85
2010-06-30,0.99,$0.30,3.27
2010-03-31,1.0,$0.20,4.89
2009-12-31,1.04,$0.00,0.0
