Olaplex Holdings Price to Free Cash Flow Ratio Historical Data,Olaplex Holdings Price to Free Cash Flow Ratio Historical Data,Olaplex Holdings Price to Free Cash Flow Ratio Historical Data,Olaplex Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.35,,6.5
2024-12-31,1.73,$0.21,8.33
2024-09-30,2.35,$0.21,11.36
2024-06-30,1.54,$0.24,6.52
2024-03-31,1.92,$0.25,7.61
2023-12-31,2.54,$0.26,9.87
2023-09-30,1.95,$0.29,6.7
2023-06-30,3.72,$0.29,12.83
2023-03-31,4.27,$0.33,12.87
2022-12-31,5.21,$0.37,14.25
2022-09-30,9.55,$0.36,26.49
2022-06-30,14.09,$0.47,29.9
