Blue Star Foods Price to Free Cash Flow Ratio Historical Data,Blue Star Foods Price to Free Cash Flow Ratio Historical Data,Blue Star Foods Price to Free Cash Flow Ratio Historical Data,Blue Star Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,0.15,,0.0
2024-09-30,0.53,$-36.95,0.0
2024-06-30,2.0,$-4.96,0.0
2024-03-31,0.09,$4.47,0.02
2023-12-31,0.14,$-36.30,0.0
2023-09-30,0.26,$159.97,0.0
2023-06-30,1.14,$123.05,0.01
2023-03-31,0.13,$77.16,0.0
2022-12-31,0.4,$-7.78,0.0
2022-09-30,0.63,$-390.54,0.0
