BGSF Price to Free Cash Flow Ratio Historical Data,BGSF Price to Free Cash Flow Ratio Historical Data,BGSF Price to Free Cash Flow Ratio Historical Data,BGSF Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.69,,1.77
2024-12-31,5.24,$2.09,2.51
2024-09-30,8.42,$2.26,3.72
2024-06-30,8.55,$1.89,4.53
2024-03-31,10.41,$1.99,5.23
2023-12-31,9.26,$1.65,5.61
2023-09-30,9.33,$1.18,7.93
2023-06-30,9.11,$0.24,37.87
2023-03-31,10.02,$-0.69,0.0
2022-12-31,14.28,$-1.22,0.0
2022-09-30,10.23,$-0.93,0.0
2022-06-30,11.26,$-0.17,0.0
2022-03-31,11.85,$-0.03,0.0
2021-12-31,12.78,$0.33,38.44
2021-09-30,11.3,$0.45,25.1
2021-06-30,10.81,$0.73,14.71
2021-03-31,12.17,$1.54,7.88
2020-12-31,11.64,$1.95,5.96
2020-09-30,7.24,$1.91,3.78
2020-06-30,9.63,$2.00,4.83
2020-03-31,6.33,$1.59,3.98
2019-12-31,18.25,$1.53,11.9
2019-09-30,15.71,$1.95,8.05
2019-06-30,15.27,$2.22,6.88
2019-03-31,17.67,$1.89,9.35
2018-12-31,16.53,$1.78,9.26
2018-09-30,21.52,$1.69,12.76
2018-06-30,18.19,$1.60,11.38
2018-03-31,14.65,$1.56,9.38
2017-12-31,12.11,$1.87,6.47
2017-09-30,12.38,$1.52,8.13
2017-06-30,12.81,$0.98,13.13
2017-03-31,10.38,$1.11,9.36
2016-12-31,11.11,$1.02,10.85
2016-09-30,10.83,$1.55,6.99
2016-06-30,13.07,$1.76,7.42
2016-03-31,8.98,$1.85,4.85
2015-12-31,9.98,$1.54,6.48
2015-09-30,8.34,$1.13,7.4
2015-06-30,7.32,$0.98,7.49
2015-03-31,8.14,$1.24,6.57
