Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,493.08,,7.9
2024-12-31,532.43,$62.38,8.54
2024-09-30,468.44,$78.90,5.94
2024-06-30,424.34,$57.54,7.37
2024-03-31,433.98,$45.83,9.47
2023-12-31,374.69,$41.75,8.97
2023-09-30,323.91,$32.46,9.98
2023-06-30,325.08,$36.14,8.99
2023-03-31,298.58,$43.25,6.9
2022-12-31,302.24,$37.16,8.13
2022-09-30,243.59,$39.73,6.13
2022-06-30,228.73,$34.64,6.6
2022-03-31,287.71,$38.21,7.53
2021-12-31,287.92,$26.71,10.78
2021-09-30,251.16,$5.48,45.85
2021-06-30,235.67,$6.06,38.88
2021-03-31,219.18,$-10.70,0.0
2020-12-31,182.35,$35.61,5.12
2020-09-30,143.73,$42.06,3.42
2020-06-30,139.03,$45.07,3.08
2020-03-31,94.16,$53.10,1.77
2019-12-31,152.22,$16.16,9.42
2019-09-30,133.57,$28.11,4.75
2019-06-30,130.87,$21.47,6.1
2019-03-31,115.49,$18.95,6.1
2018-12-31,93.44,$16.49,5.67
2018-09-30,131.26,$8.67,15.13
2018-06-30,123.55,$7.35,16.81
2018-03-31,129.8,$7.40,17.54
2017-12-31,147.92,$8.69,17.03
2017-09-30,128.96,$8.30,15.54
2017-06-30,109.91,$8.82,12.46
2017-03-31,111.25,$9.77,11.39
2016-12-31,94.6,$13.31,7.11
2016-09-30,84.35,$15.87,5.32
2016-06-30,75.36,$14.73,5.11
2016-03-31,78.22,$12.33,6.34
2015-12-31,87.82,$13.89,6.32
2015-09-30,89.53,$11.77,7.6
2015-06-30,101.96,$17.93,5.69
2015-03-31,106.21,$14.57,7.29
2014-12-31,106.89,$11.72,9.12
2014-09-30,99.27,$10.79,9.2
2014-06-30,96.07,$8.36,11.49
2014-03-31,87.67,$10.42,8.41
2013-12-31,91.19,$6.08,15.0
2013-09-30,71.82,$7.82,9.18
2013-06-30,63.41,$3.88,16.36
2013-03-31,57.34,$3.39,16.93
2012-12-31,48.43,$6.14,7.89
2012-09-30,43.51,$6.43,6.76
2012-06-30,39.84,$7.81,5.1
2012-03-31,43.27,$9.05,4.78
2011-12-31,37.4,$8.44,4.43
2011-09-30,29.51,$5.25,5.62
2011-06-30,43.04,$3.74,11.5
2011-03-31,45.41,$6.05,7.51
2010-12-31,42.66,$6.54,6.52
2010-09-30,34.97,$4.69,7.45
2010-06-30,26.58,$6.21,4.28
2010-03-31,33.24,$-2.74,0.0
2009-12-31,28.32,$-5.73,0.0
