Eterna Therapeutics Price to Free Cash Flow Ratio Historical Data,Eterna Therapeutics Price to Free Cash Flow Ratio Historical Data,Eterna Therapeutics Price to Free Cash Flow Ratio Historical Data,Eterna Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.27,,0.0
2024-12-31,0.29,$-1.19,0.0
2024-09-30,1.05,$-3.27,0.0
2024-06-30,1.83,$-3.15,0.0
2024-03-31,2.4,$-3.37,0.0
2023-12-31,1.8,$-3.84,0.0
2023-09-30,2.18,$-4.46,0.0
2023-06-30,2.26,$-5.51,0.0
2023-03-31,3.4,$-6.03,0.0
2022-12-31,3.22,$-6.89,0.0
2022-09-30,4.94,$-9.67,0.0
2022-06-30,10.35,$-9.35,0.0
2022-03-31,41.0,$-10.50,0.0
2021-12-31,83.4,$-10.92,0.0
2021-09-30,186.0,$-8.49,0.0
2021-06-30,360.2,$-9.43,0.0
2021-03-31,74.4,$-9.58,0.0
2020-12-31,89.6,$-9.26,0.0
2020-09-30,68.0,$4.90,13.87
2020-06-30,88.0,$10.06,8.75
2020-03-31,60.8,$15.86,3.83
2019-12-31,88.0,$23.36,3.77
2019-09-30,134.4,$14.25,9.43
2019-06-30,151.6,$12.87,11.78
2019-03-31,161.2,$10.02,16.1
2018-12-31,78.0,$-3.18,0.0
2018-09-30,178.0,$-8.28,0.0
2018-06-30,177.6,$-44.09,0.0
2018-03-31,272.14,$1.91,142.46
2017-12-31,168.4,$-2.93,0.0
2017-09-30,244.89,$-2.68,0.0
2017-06-30,272.0,$26.44,10.29
2017-03-31,344.0,$-12.89,0.0
2016-12-31,340.0,$-17.17,0.0
2016-09-30,283.96,$-65.28,0.0
2016-06-30,344.0,$-93.71,0.0
2016-03-31,298.0,$-155.40,0.0
2015-12-31,320.0,$-126.29,0.0
2015-09-30,670.0,$-160.19,0.0
2015-06-30,465.0,$-165.87,0.0
2015-03-31,831.0,$-148.76,0.0
2014-12-31,880.0,$-185.80,0.0
2014-09-30,660.0,$-109.74,0.0
2014-06-30,1061.0,$-68.31,0.0
2014-03-31,1300.0,$-42.49,0.0
2013-12-31,1260.0,$-26.57,0.0
2013-09-30,696.0,$-4.79,0.0
2013-06-30,820.0,$-8.77,0.0
2013-03-31,520.0,$-9.61,0.0
2012-12-31,420.0,$-14.80,0.0
2012-09-30,419.8,$-53.42,0.0
2012-06-30,264.4,$-72.98,0.0
2012-03-31,498.0,$-91.05,0.0
2011-12-31,500.0,$-69.53,0.0
2011-09-30,760.0,$-39.58,0.0
2011-06-30,920.0,$5.05,182.24
2011-03-31,1012.0,$44.76,22.61
2010-12-31,760.0,$22.05,34.47
2010-09-30,800.0,$32.50,24.62
2010-06-30,1060.0,$-11.19,0.0
2010-03-31,996.4,$-36.50,0.0
2009-12-31,900.0,$-19.69,0.0
