Village Super Market Price to Free Cash Flow Ratio Historical Data,Village Super Market Price to Free Cash Flow Ratio Historical Data,Village Super Market Price to Free Cash Flow Ratio Historical Data,Village Super Market Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.66,,17.13
2025-01-31,34.11,$2.02,16.86
2024-10-31,28.54,$1.18,24.23
2024-07-31,31.42,$0.97,32.38
2024-04-30,27.48,$1.60,17.14
2024-01-31,24.76,$2.84,8.73
2023-10-31,23.6,$2.74,8.61
2023-07-31,22.22,$3.15,7.05
2023-04-30,20.67,$2.95,7.02
2023-01-31,21.72,$2.52,8.61
2022-10-31,20.54,$3.15,6.51
2022-07-31,20.58,$2.21,9.33
2022-04-30,20.92,$1.55,13.53
2022-01-31,20.4,$1.49,13.66
2021-10-31,19.67,$1.62,12.13
2021-07-31,19.69,$1.55,12.7
2021-04-30,21.07,$2.01,10.47
2021-01-31,18.02,$3.05,5.9
2020-10-31,19.15,$2.35,8.16
2020-07-31,21.13,$1.67,12.65
2020-04-30,19.93,$1.07,18.55
2020-01-31,18.26,$-0.26,0.0
2019-10-31,21.51,$0.62,34.62
2019-07-31,20.12,$1.52,13.23
2019-04-30,23.4,$1.89,12.38
2019-01-31,21.22,$1.64,12.92
2018-10-31,19.27,$1.64,11.78
2018-07-31,20.86,$1.29,16.21
2018-04-30,20.89,$1.19,17.48
2018-01-31,17.86,$1.75,10.22
2017-10-31,18.05,$1.57,11.5
2017-07-31,18.43,$1.01,18.32
2017-04-30,19.48,$1.74,11.18
2017-01-31,22.14,$1.76,12.56
2016-10-31,21.68,$2.13,10.19
2016-07-31,22.76,$3.24,7.02
2016-04-30,17.41,$2.12,8.21
2016-01-31,18.54,$-0.70,0.0
2015-10-31,17.53,$-0.05,0.0
2015-07-31,19.86,$-0.44,0.0
2015-04-30,21.94,$-0.14,0.0
2015-01-31,19.75,$1.88,10.49
2014-10-31,18.74,$1.22,15.31
2014-07-31,15.71,$0.16,101.21
2014-04-30,15.99,$0.24,65.73
2014-01-31,19.01,$0.77,24.57
2013-10-31,23.81,$0.61,38.86
2013-07-31,23.78,$2.16,11.01
2013-04-30,22.54,$2.58,8.74
2013-01-31,20.33,$2.57,7.91
2012-10-31,22.49,$2.18,10.32
2012-07-31,21.57,$1.98,10.89
2012-04-30,16.69,$2.06,8.1
2012-01-31,18.98,$2.97,6.39
2011-10-31,16.87,$3.60,4.69
2011-07-31,15.93,$3.80,4.19
2011-04-30,15.96,$3.15,5.08
2011-01-31,18.48,$1.74,10.62
2010-10-31,16.54,$2.01,8.23
2010-07-31,15.35,$1.14,13.45
2010-04-30,14.97,$1.44,10.36
2010-01-31,14.33,$1.55,9.26
2009-10-31,16.39,$0.91,18.02
