Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.08,,30.31
2024-12-31,113.61,$2.94,38.66
2024-09-30,99.46,$2.81,35.41
2024-06-30,86.52,$2.49,34.8
2024-03-31,81.6,$2.22,36.81
2023-12-31,47.97,$2.02,23.81
2023-09-30,37.14,$1.60,23.21
2023-06-30,24.73,$0.99,25.07
2023-03-31,14.29,$-0.23,0.0
2022-12-31,13.64,$-0.69,0.0
2022-09-30,9.7,$-1.04,0.0
2022-06-30,8.2,$-0.87,0.0
2022-03-31,13.97,$-0.14,0.0
2021-12-31,24.91,$0.38,65.91
2021-09-30,24.02,$0.92,26.14
2021-06-30,27.22,$1.20,22.74
2021-03-31,19.94,$1.50,13.32
2020-12-31,18.62,$0.53,35.03
2020-09-30,17.26,$0.71,24.17
2020-06-30,13.51,$0.44,30.98
2020-03-31,8.62,$-0.53,0.0
2019-12-31,10.99,$-0.07,0.0
2019-09-30,10.17,$-3.46,0.0
2019-06-30,10.11,$-3.55,0.0
