Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.33,,18.54
2025-01-31,74.49,$3.85,19.36
2024-10-31,71.14,$2.90,24.51
2024-07-31,71.38,$3.61,19.76
2024-04-30,58.6,$3.58,16.38
2024-01-31,59.58,$3.59,16.58
2023-10-31,50.71,$4.37,11.6
2023-07-31,50.61,$3.81,13.29
2023-04-30,49.83,$2.96,16.83
2023-01-31,51.98,$2.29,22.69
2022-10-31,44.26,$1.63,27.13
2022-07-31,46.05,$1.46,31.58
2022-04-30,42.86,$1.70,25.27
2022-01-31,49.48,$1.94,25.47
2021-10-31,49.43,$2.69,18.38
2021-07-31,51.67,$3.41,15.17
2021-04-30,51.35,$3.28,15.66
2021-01-31,43.03,$3.01,14.31
2020-10-31,35.21,$2.58,13.65
2020-07-31,42.69,$2.14,19.99
2020-04-30,40.23,$2.34,17.16
2020-01-31,50.91,$2.57,19.83
2019-10-31,51.61,$2.76,18.67
2019-07-31,47.19,$2.43,19.45
2019-04-30,44.32,$2.38,18.61
2019-01-31,40.43,$2.27,17.84
2018-10-31,36.26,$1.96,18.5
2018-07-31,34.25,$2.31,14.84
2018-04-30,32.43,$2.35,13.77
2018-01-31,33.88,$2.24,15.14
2017-10-31,33.52,$2.49,13.48
2017-07-31,29.09,$2.48,11.73
2017-04-30,33.92,$2.13,15.89
2017-01-31,31.49,$2.21,14.22
2016-10-31,28.51,$2.43,11.71
2016-07-31,27.52,$2.40,11.47
2016-04-30,22.53,$2.53,8.89
2016-01-31,18.95,$2.25,8.42
2015-10-31,19.04,$1.71,11.15
2015-07-31,19.49,$1.30,15.02
2015-04-30,21.89,$0.65,33.85
2015-01-31,21.36,$0.62,34.27
2014-10-31,19.3,$0.79,24.47
2014-07-31,20.99,$0.96,21.76
2014-04-30,20.56,$1.76,11.65
2014-01-31,21.65,$2.00,10.81
2013-10-31,22.96,$2.14,10.72
2013-07-31,25.99,$2.10,12.38
2013-04-30,26.31,$1.88,14.0
2013-01-31,26.94,$2.23,12.1
2012-10-31,23.62,$2.38,9.93
2012-07-31,20.24,$2.28,8.87
2012-04-30,23.51,$2.56,9.17
2012-01-31,24.38,$2.45,9.95
2011-10-31,23.01,$2.68,8.59
2011-07-31,22.02,$2.75,8.0
2011-04-30,27.9,$2.60,10.73
2011-01-31,24.11,$2.54,9.49
2010-10-31,22.52,$2.41,9.35
2010-07-31,20.24,$2.62,7.71
2010-04-30,24.83,$2.62,9.48
2010-01-31,20.31,$2.77,7.34
2009-10-31,19.35,$2.41,8.03
