Plus Therapeutics Price to Free Cash Flow Ratio Historical Data,Plus Therapeutics Price to Free Cash Flow Ratio Historical Data,Plus Therapeutics Price to Free Cash Flow Ratio Historical Data,Plus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.38,,0.0
2024-09-30,1.46,$-1.91,0.0
2024-06-30,1.47,$-1.22,0.0
2024-03-31,1.81,$-2.66,0.0
2023-12-31,1.75,$-4.14,0.0
2023-09-30,1.34,$-5.06,0.0
2023-06-30,2.02,$-6.54,0.0
2023-03-31,4.35,$-7.39,0.0
2022-12-31,4.76,$-7.70,0.0
2022-09-30,6.68,$-10.18,0.0
2022-06-30,8.1,$-10.20,0.0
2022-03-31,15.0,$-10.10,0.0
2021-12-31,15.75,$-12.85,0.0
2021-09-30,28.65,$-19.75,0.0
2021-06-30,38.4,$-25.30,0.0
2021-03-31,36.0,$-28.63,0.0
2020-12-31,30.3,$-28.87,0.0
2020-09-30,38.4,$43.42,0.88
2020-06-30,31.8,$74.40,0.43
2020-03-31,28.2,$68.59,0.41
2019-12-31,36.0,$-64.70,0.0
2019-09-30,51.3,$-343.24,0.0
2019-06-30,181.73,$-353.14,0.0
2019-03-31,194.25,$-663.62,0.0
2018-12-31,217.5,"$-1,044.17",0.0
2018-09-30,304.13,"$-1,985.84",0.0
2018-06-30,1087.5,"$-2,691.79",0.0
2018-03-31,2148.0,"$-3,164.15",0.0
2017-12-31,2262.0,"$-4,237.62",0.0
2017-09-30,2748.75,"$-5,856.22",0.0
2017-06-30,8250.0,"$-10,826.56",0.0
2017-03-31,12000.0,"$-10,033.25",0.0
2016-12-31,11325.0,"$-8,440.49",0.0
2016-09-30,15225.0,"$-5,663.65",0.0
2016-06-30,15675.0,$-1.93,0.0
2016-03-31,23973.75,$-1.90,0.0
2015-12-31,20812.5,$-2.25,0.0
2015-09-30,38250.0,$-1.63,0.0
2015-06-30,62662.49,$-1.19,0.0
2015-03-31,132749.99,$-1.00,0.0
2014-12-31,54978.74,$-0.38,0.0
2014-09-30,76049.99,$-0.39,0.0
2014-06-30,268874.97,$-0.43,0.0
2014-03-31,303749.97,$-0.43,0.0
2013-12-31,289124.97,$-0.44,0.0
2013-09-30,262124.97,$-0.52,0.0
2013-06-30,258749.97,$-0.54,0.0
2013-03-31,281812.47,$-0.57,0.0
2012-12-31,314999.97,$-0.57,0.0
2012-09-30,496124.95,$-0.58,0.0
2012-06-30,303749.97,$-0.58,0.0
2012-03-31,280124.97,$-0.60,0.0
2011-12-31,247499.98,$-0.67,0.0
2011-09-30,331874.97,$-0.62,0.0
2011-06-30,538874.95,$-0.64,0.0
2011-03-31,879749.91,$-0.55,0.0
2010-12-31,583874.94,$-0.53,0.0
2010-09-30,550124.95,$-0.61,0.0
2010-06-30,391499.96,$-0.59,0.0
2010-03-31,512999.95,$-0.65,0.0
2009-12-31,686249.93,$-0.67,0.0
