Gores Holdings IX Price to Free Cash Flow Ratio Historical Data,Gores Holdings IX Price to Free Cash Flow Ratio Historical Data,Gores Holdings IX Price to Free Cash Flow Ratio Historical Data,Gores Holdings IX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,10.59,,0.0
2024-03-31,10.56,$-0.16,0.0
2023-12-31,10.5,$-0.11,0.0
2023-09-30,10.39,$-0.03,0.0
2023-06-30,10.25,$-0.11,0.0
2023-03-31,10.07,$-0.08,0.0
2022-12-31,9.87,$-0.19,0.0
