Neurogene Price to Free Cash Flow Ratio Historical Data,Neurogene Price to Free Cash Flow Ratio Historical Data,Neurogene Price to Free Cash Flow Ratio Historical Data,Neurogene Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.23,,0.24
2024-09-30,41.96,$63.39,0.66
2024-06-30,36.39,$38.43,0.95
2024-03-31,50.9,$18.90,2.69
2023-12-31,19.38,$-11.11,0.0
2023-09-30,15.8,$-204.14,0.0
2023-06-30,16.6,$-181.72,0.0
2023-03-31,14.0,$-165.40,0.0
2022-12-31,10.18,$-139.38,0.0
2022-09-30,12.8,$-17.49,0.0
2022-06-30,20.6,$-17.40,0.0
2022-03-31,37.6,$-18.48,0.0
2021-12-31,96.4,$-18.47,0.0
2021-09-30,144.6,$-17.98,0.0
2021-06-30,184.6,$-14.24,0.0
2021-03-31,246.2,$-12.94,0.0
2020-12-31,282.0,$-10.34,0.0
2020-09-30,240.0,$-10.00,0.0
2020-06-30,332.0,$-15.06,0.0
2020-03-31,227.6,$-12.36,0.0
2019-12-31,246.4,$-12.04,0.0
2019-09-30,57.0,$-16.62,0.0
2019-06-30,47.2,$-25.05,0.0
2019-03-31,53.9,$-15.92,0.0
2018-12-31,43.2,$-26.89,0.0
2018-09-30,58.6,$-28.50,0.0
2018-06-30,53.0,$-25.19,0.0
2018-03-31,281.6,$-42.15,0.0
2017-12-31,235.2,$-38.56,0.0
2017-09-30,283.8,$-36.68,0.0
2017-06-30,281.4,$-35.15,0.0
2017-03-31,333.8,$-35.62,0.0
2016-12-31,330.2,$-32.75,0.0
2016-09-30,267.2,$-29.24,0.0
2016-06-30,132.4,$-26.68,0.0
2016-03-31,176.4,$-27.20,0.0
2015-12-31,249.6,$-32.12,0.0
2015-09-30,281.4,$-47.82,0.0
2015-06-30,138.8,$-49.87,0.0
2015-03-31,164.4,$-28.14,0.0
2014-12-31,150.0,$-40.55,0.0
