Mannatech Price to Free Cash Flow Ratio Historical Data,Mannatech Price to Free Cash Flow Ratio Historical Data,Mannatech Price to Free Cash Flow Ratio Historical Data,Mannatech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.8,,34.53
2024-09-30,7.75,$0.28,27.31
2024-06-30,6.79,$-1.26,0.0
2024-03-31,8.22,$-1.37,0.0
2023-12-31,8.1,$-1.67,0.0
2023-09-30,10.35,$-2.55,0.0
2023-06-30,12.01,$-3.28,0.0
2023-03-31,16.99,$-1.44,0.0
2022-12-31,17.44,$-1.91,0.0
2022-09-30,20.08,$-0.46,0.0
2022-06-30,15.76,$1.54,10.21
2022-03-31,34.37,$3.84,8.96
2021-12-31,36.03,$4.85,7.43
2021-09-30,29.43,$6.15,4.79
2021-06-30,24.81,$5.17,4.8
2021-03-31,18.13,$2.67,6.79
2020-12-31,16.4,$2.24,7.31
2020-09-30,13.9,$0.54,25.73
2020-06-30,12.16,$1.08,11.29
2020-03-31,8.79,$2.50,3.51
2019-12-31,12.99,$1.51,8.58
2019-09-30,14.02,$1.26,11.1
2019-06-30,13.5,$0.06,229.67
2019-03-31,14.0,$-1.45,0.0
2018-12-31,14.73,$-0.98,0.0
2018-09-30,15.25,$0.36,42.03
2018-06-30,15.3,$0.98,15.66
2018-03-31,11.65,$3.67,3.17
2017-12-31,11.04,$3.32,3.33
2017-09-30,10.58,$0.06,168.15
2017-06-30,11.28,$0.18,63.49
2017-03-31,11.75,$-1.49,0.0
2016-12-31,14.45,$-0.86,0.0
2016-09-30,12.7,$0.53,24.13
2016-06-30,14.2,$1.21,11.76
2016-03-31,16.49,$1.27,13.0
2015-12-31,13.23,$0.88,14.99
2015-09-30,13.3,$0.65,20.44
2015-06-30,12.63,$1.80,7.02
2015-03-31,13.16,$3.14,4.2
2014-12-31,18.7,$2.91,6.42
2014-09-30,10.94,$5.08,2.15
2014-06-30,8.52,$3.39,2.51
2014-03-31,12.15,$2.03,5.98
2013-12-31,11.9,$2.95,4.03
2013-09-30,16.86,$3.02,5.59
2013-06-30,7.78,$2.96,2.63
2013-03-31,4.48,$1.56,2.87
2012-12-31,3.94,$-0.68,0.0
2012-09-30,3.64,$-2.31,0.0
2012-06-30,4.9,$-1.79,0.0
2012-03-31,2.56,$-1.35,0.0
2011-12-31,3.09,$-1.38,0.0
2011-09-30,3.79,$-0.77,0.0
2011-06-30,6.74,$-1.36,0.0
2011-03-31,11.37,$0.65,17.37
2010-12-31,12.63,$0.84,15.01
2010-09-30,14.38,$-0.94,0.0
2010-06-30,13.96,$-1.53,0.0
2010-03-31,23.44,$-4.53,0.0
2009-12-31,21.82,$-4.95,0.0
