Northwest Pipe Price to Free Cash Flow Ratio Historical Data,Northwest Pipe Price to Free Cash Flow Ratio Historical Data,Northwest Pipe Price to Free Cash Flow Ratio Historical Data,Northwest Pipe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.48,,12.78
2024-12-31,48.26,$3.40,14.18
2024-09-30,45.13,$0.64,71.05
2024-06-30,33.97,$0.15,228.75
2024-03-31,34.68,$-1.74,0.0
2023-12-31,30.26,$3.49,8.68
2023-09-30,30.17,$1.18,25.48
2023-06-30,30.24,$1.19,25.33
2023-03-31,31.23,$1.92,16.24
2022-12-31,33.7,$-0.53,0.0
2022-09-30,28.1,$1.64,17.11
2022-06-30,29.94,$-1.78,0.0
2022-03-31,25.45,$-1.95,0.0
2021-12-31,31.8,$-1.92,0.0
2021-09-30,23.7,$-1.34,0.0
2021-06-30,28.25,$2.02,14.0
2021-03-31,33.42,$2.78,12.01
2020-12-31,28.3,$4.26,6.64
2020-09-30,26.46,$5.34,4.96
2020-06-30,25.07,$4.28,5.86
2020-03-31,22.25,$3.84,5.79
2019-12-31,33.31,$3.51,9.5
2019-09-30,28.15,$0.36,77.68
2019-06-30,25.78,$-0.66,0.0
2019-03-31,24.0,$-1.06,0.0
2018-12-31,23.29,$-2.27,0.0
2018-09-30,19.75,$-0.44,0.0
2018-06-30,19.37,$-0.75,0.0
2018-03-31,17.3,$-1.29,0.0
2017-12-31,19.14,$-1.06,0.0
2017-09-30,19.02,$-2.07,0.0
2017-06-30,16.26,$-0.51,0.0
2017-03-31,15.71,$-0.21,0.0
2016-12-31,17.22,$-0.08,0.0
2016-09-30,11.81,$2.23,5.29
2016-06-30,10.78,$1.34,8.03
2016-03-31,9.22,$2.93,3.15
2015-12-31,11.19,$5.07,2.21
2015-09-30,13.06,$3.30,3.96
2015-06-30,20.37,$3.41,5.98
2015-03-31,22.95,$0.67,34.32
2014-12-31,30.12,$2.18,13.8
2014-09-30,34.1,$1.23,27.84
2014-06-30,40.33,$2.19,18.41
2014-03-31,36.16,$3.45,10.49
2013-12-31,37.76,$-0.70,0.0
2013-09-30,32.88,$1.88,17.49
2013-06-30,27.9,$0.82,33.94
2013-03-31,27.98,$1.18,23.77
2012-12-31,23.86,$3.04,7.86
2012-09-30,24.65,$1.04,23.68
2012-06-30,24.26,$2.84,8.55
2012-03-31,21.24,$1.61,13.18
2011-12-31,22.86,$-0.42,0.0
2011-09-30,20.29,$0.92,22.08
2011-06-30,26.06,$-1.59,0.0
2011-03-31,22.93,$-2.59,0.0
2010-12-31,24.03,$-4.30,0.0
2010-09-30,17.5,$-4.19,0.0
2010-06-30,19.0,$-2.32,0.0
2010-03-31,21.85,$0.92,23.67
2009-12-31,26.86,$6.05,4.44
