Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.98,,13.69
2024-12-31,36.95,$2.92,12.65
2024-09-30,40.49,$2.99,13.53
2024-06-30,35.96,$2.79,12.89
2024-03-31,33.8,$2.64,12.8
2023-12-31,32.47,$2.75,11.8
2023-09-30,27.94,$2.90,9.65
2023-06-30,28.76,$3.10,9.27
2023-03-31,29.17,$3.04,9.6
2022-12-31,30.11,$3.27,9.21
2022-09-30,26.56,$2.94,9.02
2022-06-30,30.5,$3.10,9.85
2022-03-31,32.01,$3.10,10.33
2021-12-31,25.44,$2.89,8.8
2021-09-30,26.16,$2.95,8.86
2021-06-30,25.81,$2.32,11.12
2021-03-31,23.05,$2.23,10.34
2020-12-31,18.58,$1.66,11.19
2020-09-30,16.34,$1.28,12.78
2020-06-30,18.86,$1.08,17.41
2020-03-31,13.75,$0.85,16.16
2019-12-31,26.67,$1.31,20.35
2019-09-30,26.34,$1.37,19.26
2019-06-30,26.12,$1.47,17.74
2019-03-31,25.49,$1.66,15.34
2018-12-31,20.33,$1.57,12.96
2018-09-30,22.98,$1.56,14.69
2018-06-30,23.1,$1.13,20.42
2018-03-31,20.58,$0.42,49.49
2017-12-31,23.54,$-0.58,0.0
2017-09-30,22.55,$-1.38,0.0
2017-06-30,21.02,$-1.72,0.0
2017-03-31,19.89,$-1.75,0.0
2016-12-31,19.43,$-1.23,0.0
2016-09-30,18.67,$-0.90,0.0
2016-06-30,18.37,$-0.97,0.0
2016-03-31,16.13,$-1.26,0.0
2015-12-31,12.83,$-1.87,0.0
2015-09-30,13.95,$-2.54,0.0
2015-06-30,18.53,$-2.29,0.0
2015-03-31,17.96,$-2.20,0.0
2014-12-31,20.43,$-1.45,0.0
2014-09-30,23.41,$-1.12,0.0
2014-06-30,23.68,$-1.27,0.0
2014-03-31,20.77,$-1.13,0.0
2013-12-31,19.01,$-0.76,0.0
2013-09-30,17.66,$-0.60,0.0
2013-06-30,16.12,$-0.16,0.0
2013-03-31,16.43,$-0.20,0.0
2012-12-31,14.69,$-0.64,0.0
2012-09-30,14.13,$-0.48,0.0
2012-06-30,12.69,$-0.45,0.0
2012-03-31,13.76,$-0.13,0.0
2011-12-31,14.05,0,0.0
2011-09-30,11.61,0,0.0
