American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.51,,11.46
2024-12-31,26.26,$1.79,14.68
2024-09-30,26.4,$1.77,14.9
2024-06-30,21.83,$1.83,11.96
2024-03-31,21.37,$1.60,13.37
2023-12-31,21.61,$1.39,15.6
2023-09-30,18.39,$1.29,14.26
2023-06-30,17.87,$1.26,14.2
2023-03-31,17.02,$1.09,15.56
2022-12-31,23.92,$0.86,27.92
2022-09-30,22.94,$0.57,40.24
2022-06-30,26.19,$0.60,43.82
2022-03-31,33.08,$0.55,60.1
2021-12-31,32.48,$0.84,38.81
2021-09-30,32.12,$1.00,32.23
2021-06-30,31.77,$0.93,34.16
2021-03-31,27.44,$0.92,29.93
2020-12-31,24.23,$0.83,29.05
2020-09-30,20.04,$0.98,20.42
2020-06-30,22.93,$1.03,22.27
2020-03-31,20.46,$1.12,18.28
2019-12-31,37.26,$1.04,35.79
2019-09-30,37.69,$0.77,48.72
2019-06-30,37.77,$0.77,49.05
2019-03-31,36.54,$0.81,45.29
2018-12-31,31.81,$1.28,24.85
2018-09-30,29.33,$1.48,19.86
2018-06-30,29.91,$1.52,19.72
2018-03-31,25.91,$1.63,15.94
2017-12-31,29.41,$1.53,19.17
2017-09-30,30.38,$1.48,20.52
2017-06-30,29.89,$1.45,20.65
2017-03-31,31.55,$1.32,23.83
2016-12-31,32.29,$0.97,33.44
2016-09-30,32.3,$0.92,34.97
2016-06-30,31.42,$0.83,37.97
2016-03-31,29.37,$0.28,106.08
2015-12-31,28.03,$-0.18,0.0
2015-09-30,29.68,$-0.63,0.0
2015-06-30,28.3,$-0.98,0.0
2015-03-31,31.06,$-0.80,0.0
2014-12-31,28.41,$-0.65,0.0
2014-09-30,23.39,$-0.29,0.0
2014-06-30,24.35,$0.04,691.9
2014-03-31,23.63,$0.33,71.94
2013-12-31,21.87,$0.64,33.94
2013-09-30,21.08,$0.91,23.09
2013-06-30,21.17,$0.74,28.57
2013-03-31,21.81,$0.78,27.89
2012-12-31,18.91,$0.73,26.08
2012-09-30,18.0,$0.72,24.89
2012-06-30,16.17,$0.96,16.9
2012-03-31,15.06,$0.76,19.73
2011-12-31,13.42,$1.01,13.33
