GoPro Price to Free Cash Flow Ratio Historical Data,GoPro Price to Free Cash Flow Ratio Historical Data,GoPro Price to Free Cash Flow Ratio Historical Data,GoPro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.78,,0.0
2024-12-31,1.09,$-0.84,0.0
2024-09-30,1.36,$-0.39,0.0
2024-06-30,1.42,$-0.39,0.0
2024-03-31,2.23,$-0.45,0.0
2023-12-31,3.47,$-0.22,0.0
2023-09-30,3.14,$-0.36,0.0
2023-06-30,4.14,$-0.13,0.0
2023-03-31,5.03,$-0.03,0.0
2022-12-31,4.98,$0.01,386.05
2022-09-30,4.93,$0.87,5.69
2022-06-30,5.53,$1.05,5.28
2022-03-31,8.53,$1.15,7.4
2021-12-31,10.31,$1.37,7.52
2021-09-30,9.36,$1.08,8.67
2021-06-30,11.65,$1.34,8.7
2021-03-31,11.64,$0.89,13.08
2020-12-31,8.28,$0.60,13.88
2020-09-30,4.53,$0.48,9.46
2020-06-30,4.76,$-0.53,0.0
2020-03-31,2.62,$-0.23,0.0
2019-12-31,4.34,$-0.23,0.0
2019-09-30,5.19,$-0.49,0.0
2019-06-30,5.46,$-0.08,0.0
2019-03-31,6.5,$-0.09,0.0
2018-12-31,4.24,$-0.38,0.0
2018-09-30,7.2,$-0.35,0.0
2018-06-30,6.44,$-0.04,0.0
2018-03-31,4.79,$-0.19,0.0
2017-12-31,7.57,$-0.44,0.0
2017-09-30,11.01,$-0.84,0.0
2017-06-30,8.13,$-1.60,0.0
2017-03-31,8.7,$-1.79,0.0
2016-12-31,8.71,$-1.09,0.0
2016-09-30,16.68,$-1.04,0.0
2016-06-30,10.81,$-0.68,0.0
2016-03-31,11.96,$0.01,885.93
2015-12-31,18.01,$0.73,24.8
2015-09-30,31.22,$1.06,29.33
2015-06-30,52.72,$1.39,37.91
2015-03-31,43.41,$0.97,44.53
