Galecto Price to Free Cash Flow Ratio Historical Data,Galecto Price to Free Cash Flow Ratio Historical Data,Galecto Price to Free Cash Flow Ratio Historical Data,Galecto Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.14,,0.0
2024-12-31,4.65,$-16.10,0.0
2024-09-30,12.15,$-23.13,0.0
2024-06-30,0.47,$-27.80,0.0
2024-03-31,0.78,$-31.22,0.0
2023-12-31,0.72,$-34.65,0.0
2023-09-30,0.72,$-34.87,0.0
2023-06-30,2.52,$-37.11,0.0
2023-03-31,1.99,$-44.56,0.0
2022-12-31,1.15,$-42.43,0.0
2022-09-30,1.89,$-48.67,0.0
2022-06-30,1.73,$-48.17,0.0
2022-03-31,2.2,$-44.69,0.0
2021-12-31,3.03,$-51.99,0.0
2021-09-30,3.59,$-243.20,0.0
