Zevia PBC Price to Free Cash Flow Ratio Historical Data,Zevia PBC Price to Free Cash Flow Ratio Historical Data,Zevia PBC Price to Free Cash Flow Ratio Historical Data,Zevia PBC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.09,,0.0
2024-12-31,4.19,$-0.02,0.0
2024-09-30,1.08,$-0.12,0.0
2024-06-30,0.68,$-0.35,0.0
2024-03-31,1.17,$-0.48,0.0
2023-12-31,2.01,$-0.31,0.0
2023-09-30,2.22,$-0.24,0.0
2023-06-30,4.31,$-0.04,0.0
2023-03-31,3.85,$-0.11,0.0
2022-12-31,4.09,$-0.54,0.0
2022-09-30,4.32,$-0.63,0.0
2022-06-30,2.81,$-1.11,0.0
