PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,142.46,,11.91
2024-12-31,157.81,$11.96,13.19
2024-09-30,133.13,$6.10,21.84
2024-06-30,107.51,$7.76,13.85
2024-03-31,93.91,$9.99,9.4
2023-12-31,101.24,$10.45,9.69
2023-09-30,78.74,$10.39,7.58
2023-06-30,68.8,$10.87,6.33
2023-03-31,71.07,$9.68,7.34
2022-12-31,72.31,$8.99,8.04
2022-09-30,65.36,$10.11,6.47
2022-06-30,68.49,$8.33,8.22
2022-03-31,61.32,$4.65,13.18
2021-12-31,71.65,$2.78,25.79
2021-09-30,73.65,$2.64,27.86
2021-06-30,66.41,$4.98,13.33
2021-03-31,62.9,$7.94,7.92
2020-12-31,69.92,$10.68,6.55
2020-09-30,56.27,$15.97,3.52
2020-06-30,47.63,$11.85,4.02
2020-03-31,40.22,$8.38,4.8
2019-12-31,41.78,$8.09,5.16
2019-09-30,37.64,$3.36,11.19
2019-06-30,37.42,$4.95,7.56
2019-03-31,38.56,$6.08,6.34
2018-12-31,35.75,$4.77,7.49
2018-09-30,48.29,$7.41,6.52
2018-06-30,49.2,$6.70,7.35
2018-03-31,46.13,$5.44,8.47
2017-12-31,41.94,$5.84,7.18
2017-09-30,35.2,$4.14,8.5
2017-06-30,36.9,$4.22,8.75
2017-03-31,32.15,$3.48,9.24
2016-12-31,28.26,$5.67,4.98
2016-09-30,24.91,$4.60,5.42
