LiqTech Price to Free Cash Flow Ratio Historical Data,LiqTech Price to Free Cash Flow Ratio Historical Data,LiqTech Price to Free Cash Flow Ratio Historical Data,LiqTech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,2.56,$-1.28,0.0
2024-06-30,2.36,$-1.12,0.0
2024-03-31,3.09,$-1.07,0.0
2023-12-31,3.41,$-1.24,0.0
2023-09-30,3.89,$-1.78,0.0
2023-06-30,3.21,$-1.01,0.0
2023-03-31,3.76,$-1.57,0.0
2022-12-31,3.04,$-3.10,0.0
2022-09-30,3.05,$-3.37,0.0
2022-06-30,3.6,$-5.30,0.0
2022-03-31,19.6,$-4.41,0.0
2021-12-31,45.76,$-3.09,0.0
2021-09-30,43.84,$-3.02,0.0
2021-06-30,58.56,$-2.60,0.0
2021-03-31,64.72,$-1.82,0.0
2020-12-31,64.0,$-2.36,0.0
2020-09-30,67.6,$-2.21,0.0
2020-06-30,43.68,$-0.99,0.0
2020-03-31,34.32,$-3.60,0.0
2019-12-31,46.8,$-2.87,0.0
2019-09-30,63.2,$-2.25,0.0
2019-06-30,79.28,$-2.61,0.0
2019-03-31,68.8,$-1.18,0.0
2018-12-31,43.84,$-2.05,0.0
2018-09-30,53.12,$-2.39,0.0
2018-06-30,23.83,$-2.84,0.0
2018-03-31,15.85,$-3.47,0.0
2017-12-31,18.18,$-2.65,0.0
2017-09-30,11.84,$-0.98,0.0
2017-06-30,10.24,$-0.86,0.0
2017-03-31,12.48,$-0.15,0.0
2016-12-31,20.48,$0.04,561.1
2016-09-30,26.56,$-1.28,0.0
2016-06-30,19.2,$-1.32,0.0
2016-03-31,23.05,$-1.26,0.0
2015-12-31,32.25,$-2.18,0.0
2015-09-30,31.04,$-4.25,0.0
2015-06-30,26.38,$-3.23,0.0
2015-03-31,21.48,$-5.76,0.0
2014-12-31,34.88,$-5.81,0.0
2014-09-30,49.28,$-6.99,0.0
2014-06-30,63.36,$-7.56,0.0
2014-03-31,60.8,$-4.79,0.0
2013-12-31,72.0,$-3.53,0.0
2013-09-30,84.8,0,0.0
2013-06-30,93.76,0,0.0
2013-03-31,76.8,0,0.0
2012-12-31,44.16,0,0.0
