RF Industries Price to Free Cash Flow Ratio Historical Data,RF Industries Price to Free Cash Flow Ratio Historical Data,RF Industries Price to Free Cash Flow Ratio Historical Data,RF Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.67,,20.15
2024-10-31,4.14,$0.23,17.88
2024-07-31,4.17,$0.41,10.15
2024-04-30,2.86,$0.15,19.67
2024-01-31,3.08,$0.26,12.03
2023-10-31,2.96,$0.17,17.89
2023-07-31,3.78,$0.03,123.53
2023-04-30,4.06,$0.30,13.67
2023-01-31,5.32,$-0.05,0.0
2022-10-31,5.41,$0.02,255.19
2022-07-31,6.98,$0.06,117.51
2022-04-30,6.62,$-0.37,0.0
2022-01-31,7.22,$-0.21,0.0
2021-10-31,7.61,$-0.33,0.0
2021-07-31,9.57,$-0.35,0.0
2021-04-30,6.45,$-0.26,0.0
2021-01-31,5.87,$-0.19,0.0
2020-10-31,4.28,$0.45,9.61
2020-07-31,4.47,$0.34,13.07
2020-04-30,5.55,$0.43,12.88
2020-01-31,5.96,$0.48,12.31
2019-10-31,5.89,$-0.33,0.0
2019-07-31,8.13,$0.29,27.61
2019-04-30,7.47,$0.60,12.4
2019-01-31,8.05,$0.83,9.75
2018-10-31,7.61,$1.06,7.2
2018-07-31,9.74,$0.59,16.43
2018-04-30,5.51,$0.48,11.59
2018-01-31,3.06,$0.22,13.85
2017-10-31,2.36,$0.16,14.74
2017-07-31,1.77,$0.18,10.14
2017-04-30,1.51,$-0.01,0.0
2017-01-31,1.49,$-0.09,0.0
2016-10-31,1.61,$-0.15,0.0
2016-07-31,2.09,$-0.25,0.0
2016-04-30,2.26,$-0.10,0.0
2016-01-31,3.7,$-0.07,0.0
2015-10-31,3.98,$-0.00,0.0
2015-07-31,3.71,$0.13,27.97
2015-04-30,3.51,$0.17,20.28
2015-01-31,3.78,$0.32,11.84
2014-10-31,3.75,$0.50,7.54
2014-07-31,4.35,$0.45,9.75
2014-04-30,4.92,$0.60,8.15
2014-01-31,5.28,$0.61,8.7
2013-10-31,7.27,$0.58,12.5
2013-07-31,4.77,$0.51,9.38
2013-04-30,4.64,$0.37,12.47
2013-01-31,4.18,$0.32,13.26
2012-10-31,3.3,$0.23,14.54
2012-07-31,3.02,$0.29,10.55
2012-04-30,2.74,$-0.00,0.0
2012-01-31,2.75,$-0.02,0.0
2011-10-31,2.25,$-0.03,0.0
2011-07-31,2.91,$-0.04,0.0
2011-04-30,2.5,$0.20,12.32
2011-01-31,2.39,$0.30,7.9
2010-10-31,2.21,$0.35,6.34
2010-07-31,1.74,$0.42,4.19
2010-04-30,1.65,$0.36,4.59
2010-01-31,1.51,$0.29,5.3
2009-10-31,1.31,$0.24,5.57
