Galena Biopharma Price to Free Cash Flow Ratio Historical Data,Galena Biopharma Price to Free Cash Flow Ratio Historical Data,Galena Biopharma Price to Free Cash Flow Ratio Historical Data,Galena Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.21,,0.0
2024-09-30,1.25,$-0.61,0.0
2024-06-30,1.19,$-0.79,0.0
2024-03-31,1.01,$-0.86,0.0
2023-12-31,1.06,$-1.13,0.0
2023-09-30,1.64,$-1.26,0.0
2023-06-30,1.57,$-1.29,0.0
2023-03-31,1.43,$-1.29,0.0
2022-12-31,2.36,$-1.23,0.0
2022-09-30,2.02,$-1.26,0.0
2022-06-30,2.23,$-1.32,0.0
2022-03-31,6.68,$-1.44,0.0
2021-12-31,5.53,$-1.68,0.0
2021-09-30,9.16,$-0.99,0.0
2021-06-30,11.1,$-0.78,0.0
2021-03-31,8.54,$-0.92,0.0
2020-12-31,5.81,$-1.31,0.0
2020-09-30,2.65,$-5.39,0.0
2020-06-30,2.93,$6.52,0.45
2020-03-31,1.73,$3.20,0.54
2019-12-31,4.3,$-6.89,0.0
2019-09-30,6.05,$-45.98,0.0
2019-06-30,5.63,$-44.58,0.0
2019-03-31,51.0,$-81.89,0.0
2018-12-31,61.5,$-116.11,0.0
2018-09-30,61.0,$-72.55,0.0
2018-06-30,171.0,$-60.34,0.0
2018-03-31,172.5,$-130.24,0.0
2017-12-31,393.0,$-234.81,0.0
2017-09-30,528.9,"$4,436.17",0.12
2017-06-30,871.5,"$3,114.55",0.28
2017-03-31,915.0,"$1,437.88",0.64
2016-12-31,2910.0,$-625.66,0.0
2016-09-30,10509.01,"$-8,527.34",0.0
2016-06-30,13983.01,"$-8,982.17",0.0
2016-03-31,40800.04,"$-9,003.48",0.0
2015-12-31,44100.04,"$-9,344.59",0.0
2015-09-30,47400.05,"$-8,793.83",0.0
2015-06-30,51000.05,"$-9,808.60",0.0
2015-03-31,41700.04,"$-11,267.87",0.0
2014-12-31,45300.05,"$-10,798.03",0.0
2014-09-30,61800.06,"$-10,639.50",0.0
2014-06-30,91800.09,"$-10,460.56",0.0
2014-03-31,75000.08,"$-9,895.75",0.0
2013-12-31,148800.15,"$-9,739.73",0.0
2013-09-30,68400.07,"$-10,242.84",0.0
2013-06-30,66600.07,"$-9,508.66",0.0
2013-03-31,63000.06,"$-12,004.02",0.0
2012-12-31,45900.05,"$-10,075.37",0.0
2012-09-30,53400.05,"$-7,051.65",0.0
2012-06-30,49500.05,"$-5,199.01",0.0
2012-03-31,66600.07,$-0.28,0.0
2011-12-31,14070.01,$-0.33,0.0
2011-09-30,30300.03,$-0.36,0.0
2011-06-30,29400.03,$-0.45,0.0
2011-03-31,41400.04,$-0.56,0.0
2010-12-31,77400.08,$-0.58,0.0
2010-09-30,85500.09,$-0.68,0.0
2010-06-30,78000.08,$-0.73,0.0
2010-03-31,136800.14,$-0.77,0.0
2009-12-31,137400.14,$-0.78,0.0
