NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.1,,6.27
2024-12-31,14.6,$2.41,6.07
2024-09-30,15.89,$1.98,8.04
2024-06-30,18.83,$1.19,15.83
2024-03-31,19.25,$-0.07,0.0
2023-12-31,19.94,$-0.35,0.0
2023-09-30,20.5,$-0.89,0.0
2023-06-30,15.69,$-1.22,0.0
2023-03-31,18.05,$-1.27,0.0
2022-12-31,20.32,$-1.00,0.0
2022-09-30,15.7,$-1.30,0.0
2022-06-30,16.36,$-0.71,0.0
2022-03-31,18.93,$0.05,415.08
2021-12-31,13.05,$0.23,55.95
2021-09-30,12.57,$0.66,19.19
2021-06-30,14.69,$1.20,12.28
2021-03-31,13.16,$1.70,7.73
2020-12-31,13.17,$1.82,7.22
2020-09-30,8.69,$2.54,3.43
2020-06-30,11.75,$2.56,4.58
2020-03-31,9.43,$1.40,6.75
2019-12-31,23.89,$1.26,18.97
2019-09-30,20.17,$0.60,33.76
2019-06-30,21.11,$0.17,126.15
2019-03-31,25.23,$0.97,26.14
2018-12-31,24.3,$0.73,33.16
2018-09-30,40.66,$1.01,40.23
2018-06-30,40.92,$1.20,33.98
2018-03-31,34.66,$1.07,32.44
2017-12-31,33.87,$1.70,19.95
2017-09-30,33.55,$1.26,26.67
2017-06-30,30.88,$0.74,41.48
2017-03-31,37.53,$0.55,68.31
2016-12-31,35.0,$1.80,19.47
2016-09-30,34.3,$2.89,11.87
2016-06-30,31.37,$3.72,8.43
2016-03-31,28.95,$3.82,7.59
2015-12-31,30.73,$2.34,13.11
2015-09-30,34.12,$2.22,15.4
2015-06-30,43.24,$2.20,19.64
2015-03-31,44.36,$3.59,12.36
2014-12-31,57.62,$4.47,12.88
2014-09-30,66.46,$6.38,10.41
2014-06-30,71.52,$7.58,9.43
2014-03-31,60.66,$6.54,9.27
2013-12-31,61.75,$6.49,9.52
2013-09-30,60.45,$4.81,12.56
2013-06-30,53.15,$2.82,18.82
2013-03-31,54.37,$1.32,41.05
2012-12-31,52.43,$0.12,439.81
2012-09-30,61.33,$-0.24,0.0
2012-06-30,49.26,$0.94,52.65
2012-03-31,60.64,$3.74,16.23
2011-12-31,51.8,$3.91,13.26
2011-09-30,38.96,$4.52,8.61
2011-06-30,59.39,$4.26,13.94
2011-03-31,60.11,$2.71,22.15
2010-12-31,50.92,$3.11,16.36
2010-09-30,33.61,$1.56,21.58
2010-06-30,24.93,$2.16,11.55
2010-03-31,30.51,$2.87,10.64
2009-12-31,33.07,$4.40,7.51
