XTL Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,XTL Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,XTL Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,XTL Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.18,,0.0
2024-03-31,2.81,$-0.11,0.0
2023-12-31,1.01,$-0.11,0.0
2023-03-31,1.31,$-0.25,0.0
2022-06-30,1.52,$-0.25,0.0
2022-03-31,2.37,$-0.22,0.0
2021-06-30,3.99,$-0.22,0.0
2021-03-31,3.33,$-0.09,0.0
2020-06-30,1.59,$-0.09,0.0
2020-03-31,1.18,0,0.0
2019-03-31,2.36,$-0.63,0.0
2018-03-31,1.73,$-0.14,0.0
2017-03-31,2.63,$-0.63,0.0
2016-12-31,3.17,$-0.63,0.0
2016-09-30,4.75,$-0.09,0.0
2016-06-30,5.8,$-0.98,0.0
2016-03-31,5.16,$-0.71,0.0
2015-12-31,7.05,$-0.71,0.0
2015-09-30,8.0,$-0.97,0.0
2015-06-30,9.75,$-1.25,0.0
2015-03-31,11.5,$-0.72,0.0
2014-12-31,9.9,$-1.06,0.0
2014-09-30,8.5,$-1.13,0.0
2014-06-30,15.3,$-0.69,0.0
2014-03-31,18.2,$-1.23,0.0
2013-12-31,14.5,$-1.15,0.0
2013-09-30,26.65,$-0.74,0.0
2013-06-30,29.65,$-0.72,0.0
2013-03-31,31.75,$-0.63,0.0
2012-12-31,37.1,$-0.51,0.0
2012-09-30,33.0,$-0.33,0.0
2012-06-30,29.5,$-0.60,0.0
2012-03-31,26.0,$-0.47,0.0
2011-12-31,19.0,$-0.46,0.0
2011-09-30,15.0,$-0.31,0.0
2011-06-30,16.0,$0.06,285.71
2011-03-31,21.0,$-0.02,0.0
2010-12-31,23.5,0,0.0
2010-09-30,13.0,$-0.50,0.0
2010-06-30,4.5,$-0.58,0.0
2010-03-31,5.5,$-2.23,0.0
2009-12-31,5.0,$-2.12,0.0
