Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.51,,34.17
2024-12-31,59.63,$1.30,45.78
2024-09-30,68.29,$-0.24,0.0
2024-06-30,75.77,$-1.80,0.0
2024-03-31,68.24,$-3.09,0.0
2023-12-31,52.37,$-4.59,0.0
2023-09-30,45.63,$-4.56,0.0
2023-06-30,37.93,$-3.82,0.0
2023-03-31,37.67,$-3.17,0.0
2022-12-31,31.55,$-1.30,0.0
2022-09-30,32.55,$0.59,55.31
2022-06-30,44.83,$2.45,18.33
2022-03-31,49.65,$4.63,10.71
2021-12-31,65.21,$4.14,15.77
2021-09-30,56.44,$3.66,15.42
2021-06-30,71.17,$2.90,24.57
2021-03-31,66.75,$0.52,127.65
2020-12-31,55.39,$0.72,76.54
2020-09-30,36.55,$0.34,108.14
2020-06-30,44.15,$0.59,74.33
2020-03-31,41.09,$1.17,34.97
2019-12-31,62.18,$1.06,58.72
2019-09-30,57.93,$1.63,35.45
2019-06-30,46.18,$2.71,17.07
2019-03-31,46.16,$4.48,10.31
2018-12-31,35.13,$6.95,5.06
2018-09-30,54.88,$9.30,5.9
2018-06-30,71.95,$11.06,6.5
2018-03-31,85.21,$11.66,7.31
2017-12-31,73.04,$12.20,5.99
2017-09-30,78.86,$12.02,6.56
2017-06-30,80.4,$9.73,8.26
2017-03-31,74.5,$7.58,9.82
2016-12-31,60.96,$6.16,9.89
2016-09-30,52.08,$5.00,10.42
2016-06-30,41.74,$5.78,7.22
2016-03-31,41.27,$6.45,6.39
2015-12-31,51.89,$7.24,7.17
2015-09-30,68.06,$5.09,13.37
2015-06-30,66.8,$6.88,9.71
2015-03-31,77.03,$7.81,9.87
2014-12-31,93.18,$7.75,12.02
2014-09-30,81.29,$10.26,7.92
2014-06-30,77.09,$9.04,8.53
2014-03-31,76.36,$8.97,8.52
2013-12-31,69.54,$8.95,7.77
2013-09-30,52.36,$8.86,5.91
2013-06-30,51.07,$8.81,5.8
2013-03-31,41.2,$10.23,4.03
2012-12-31,34.63,$12.28,2.82
2012-09-30,31.36,$11.18,2.8
2012-06-30,24.52,$9.90,2.48
2012-03-31,33.3,$7.54,4.41
2011-12-31,24.9,$3.85,6.47
2011-09-30,20.69,$3.84,5.39
2011-06-30,29.27,$3.73,7.84
2011-03-31,30.0,$3.25,9.22
2010-12-31,27.27,$4.41,6.18
2010-09-30,22.84,$4.86,4.7
2010-06-30,24.26,$5.17,4.69
2010-03-31,31.37,$5.57,5.63
2009-12-31,35.52,$6.26,5.67
