NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.2,,11.59
2024-12-31,47.76,$3.73,12.81
2024-09-30,43.93,$3.53,12.44
2024-06-30,38.07,$3.58,10.63
2024-03-31,35.86,$3.56,10.07
2023-12-31,40.6,$3.31,12.26
2023-09-30,30.42,$3.17,9.59
2023-06-30,30.3,$3.21,9.44
2023-03-31,31.78,$3.77,8.43
2022-12-31,40.63,$4.08,9.96
2022-09-30,35.29,$3.89,9.06
2022-06-30,34.68,$3.71,9.34
2022-03-31,33.09,$3.31,10.01
2021-12-31,35.02,$3.46,10.11
2021-09-30,32.58,$3.80,8.58
2021-06-30,32.2,$3.56,9.05
2021-03-31,35.47,$3.21,11.05
2020-12-31,28.32,$3.12,9.09
2020-09-30,23.45,$3.40,6.89
2020-06-30,26.66,$3.66,7.29
2020-03-31,27.84,$3.33,8.35
2019-12-31,34.6,$3.33,10.4
2019-09-30,31.0,$3.28,9.44
2019-06-30,31.54,$3.28,9.62
2019-03-31,30.07,$3.15,9.54
2018-12-31,28.69,$3.19,9.0
2018-09-30,31.83,$3.03,10.5
2018-06-30,31.45,$2.78,11.33
2018-03-31,29.05,$3.25,8.95
2017-12-31,29.94,$2.97,10.09
2017-09-30,29.7,$2.84,10.47
2017-06-30,29.67,$2.79,10.62
2017-03-31,29.58,$2.43,12.18
2016-12-31,33.23,$2.46,13.52
2016-09-30,25.93,$2.36,11.0
2016-06-30,22.42,$2.54,8.82
2016-03-31,20.95,$2.61,8.04
2015-12-31,21.49,$2.62,8.2
2015-09-30,20.62,$2.59,7.96
2015-06-30,19.86,$2.08,9.54
2015-03-31,18.85,$1.73,10.89
2014-12-31,19.59,$1.78,11.03
2014-09-30,16.65,$1.98,8.42
2014-06-30,17.61,$2.66,6.61
2014-03-31,17.76,$3.27,5.44
2013-12-31,18.64,$2.68,6.95
2013-09-30,16.41,$2.75,5.97
2013-06-30,14.98,$2.42,6.2
2013-03-31,15.51,$2.14,7.24
2012-12-31,14.06,$2.43,5.79
2012-09-30,15.15,$1.89,8.01
2012-06-30,14.69,$1.89,7.78
2012-03-31,14.87,$1.90,7.82
2011-12-31,14.77,$2.18,6.79
2011-09-30,12.3,$2.39,5.16
2011-06-30,14.48,$2.39,6.06
2011-03-31,14.77,$2.56,5.78
2010-12-31,15.51,$2.40,6.46
2010-09-30,14.05,$1.68,8.37
2010-06-30,12.87,$1.91,6.74
2010-03-31,14.3,$2.06,6.95
2009-12-31,12.61,$1.42,8.85
