Terns Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Terns Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Terns Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Terns Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.14,,0.0
2024-09-30,8.34,$-0.99,0.0
2024-06-30,6.81,$-1.09,0.0
2024-03-31,6.56,$-1.05,0.0
2023-12-31,6.49,$-0.95,0.0
2023-09-30,5.03,$-1.05,0.0
2023-06-30,8.75,$-0.78,0.0
2023-03-31,11.84,$-1.04,0.0
2022-12-31,10.18,$-1.37,0.0
2022-09-30,5.89,$-1.60,0.0
2022-06-30,2.48,$-1.91,0.0
2022-03-31,2.97,$-1.45,0.0
2021-12-31,7.07,$-1.86,0.0
