Utz Brands Price to Free Cash Flow Ratio Historical Data,Utz Brands Price to Free Cash Flow Ratio Historical Data,Utz Brands Price to Free Cash Flow Ratio Historical Data,Utz Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.59,,33.98
2024-12-31,15.66,$0.40,39.16
2024-09-30,17.64,$0.44,40.26
2024-06-30,16.52,$0.63,26.41
2024-03-31,18.16,$0.44,41.19
2023-12-31,15.99,$0.38,42.58
2023-09-30,13.17,$0.40,32.65
2023-06-30,15.99,$0.17,91.55
2023-03-31,15.99,$-0.17,0.0
2022-12-31,15.39,$-0.44,0.0
2022-09-30,14.61,$-0.31,0.0
2022-06-30,13.32,$-0.67,0.0
2022-03-31,14.13,$-0.11,0.0
2021-12-31,15.25,$0.24,62.85
2021-09-30,16.33,$0.20,79.73
2021-06-30,20.71,$0.05,432.42
2021-03-31,23.47,$-0.03,0.0
2020-12-31,20.88,$0.16,128.43
2020-09-30,16.9,$-0.19,0.0
2020-06-30,12.9,$0.00,0.0
2020-03-31,9.63,$0.00,0.0
2019-12-31,9.68,0,0.0
2019-09-30,9.59,0,0.0
