KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.85,,9.59
2024-09-30,61.75,$5.82,10.61
2024-06-30,56.11,$16.43,3.41
2024-03-31,51.08,$30.88,1.65
2023-12-31,39.19,$7.42,5.28
2023-09-30,38.95,$28.19,1.38
2023-06-30,34.16,$26.29,1.3
2023-03-31,33.82,$9.02,3.75
2022-12-31,35.9,$10.78,3.33
2022-09-30,27.22,$-15.71,0.0
2022-06-30,33.22,$-14.53,0.0
2022-03-31,43.16,$-8.95,0.0
2021-12-31,40.48,$-14.77,0.0
2021-09-30,39.22,$-15.23,0.0
2021-06-30,41.66,$-17.68,0.0
2021-03-31,41.24,$-34.97,0.0
2020-12-31,33.04,$-27.89,0.0
2020-09-30,25.77,$-18.07,0.0
2020-06-30,22.32,$-21.53,0.0
2020-03-31,21.81,$4.32,5.06
2019-12-31,33.19,$19.34,1.72
2019-09-30,27.49,$20.38,1.35
2019-06-30,30.38,$19.87,1.53
2019-03-31,28.52,$7.60,3.75
2018-12-31,32.31,$-21.20,0.0
2018-09-30,35.72,$-19.32,0.0
2018-06-30,34.39,$-20.74,0.0
2018-03-31,42.87,$-24.06,0.0
2017-12-31,43.29,$-11.92,0.0
2017-09-30,35.2,$-18.54,0.0
2017-06-30,36.25,$-15.59,0.0
2017-03-31,31.57,$-0.58,0.0
2016-12-31,25.33,$1.57,16.14
2016-09-30,23.83,$6.31,3.78
2016-06-30,19.83,$9.83,2.02
2016-03-31,19.22,$8.92,2.16
2015-12-31,19.42,$4.34,4.48
2015-09-30,20.47,$7.14,2.87
2015-06-30,22.9,$0.05,439.52
2015-03-31,24.48,$0.50,49.05
2014-12-31,22.73,$8.93,2.54
2014-09-30,24.72,$-7.10,0.0
2014-06-30,23.72,$-6.46,0.0
2014-03-31,23.99,$-9.43,0.0
2013-12-31,27.64,$-15.48,0.0
2013-09-30,23.67,$7.87,3.01
2013-06-30,20.02,$10.12,1.98
2013-03-31,22.33,$8.78,2.54
2012-12-31,24.26,$18.09,1.34
2012-09-30,23.59,$9.55,2.47
2012-06-30,21.85,$8.29,2.63
2012-03-31,24.53,$4.54,5.4
2011-12-31,20.95,$-8.65,0.0
2011-09-30,21.56,$-16.26,0.0
2011-06-30,31.46,$-13.54,0.0
2011-03-31,34.34,$-11.53,0.0
2010-12-31,34.81,$-4.37,0.0
2010-09-30,28.18,$-1.86,0.0
2010-06-30,24.9,$-1.70,0.0
2010-03-31,31.52,$-1.70,0.0
2009-12-31,33.42,$-1.74,0.0
