Adaptimmune Therapeutics Price to Free Cash Flow Ratio Historical Data,Adaptimmune Therapeutics Price to Free Cash Flow Ratio Historical Data,Adaptimmune Therapeutics Price to Free Cash Flow Ratio Historical Data,Adaptimmune Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,0.0
2024-09-30,0.95,$-0.30,0.0
2024-06-30,0.97,$-0.21,0.0
2024-03-31,1.58,$-0.62,0.0
2023-12-31,0.79,$-0.72,0.0
2023-09-30,0.78,$-0.60,0.0
2023-06-30,0.93,$-0.82,0.0
2023-03-31,1.09,$-0.91,0.0
2022-12-31,1.46,$-1.06,0.0
2022-09-30,1.08,$-0.21,0.0
2022-06-30,1.7,$-0.16,0.0
2022-03-31,2.06,$-0.07,0.0
2021-12-31,3.75,$0.01,271.74
2021-09-30,5.17,$-1.05,0.0
2021-06-30,4.26,$-0.85,0.0
2021-03-31,5.31,$-0.84,0.0
2020-12-31,5.39,$-0.39,0.0
2020-09-30,7.98,$-0.29,0.0
2020-06-30,10.01,$-0.47,0.0
2020-03-31,2.72,$-0.60,0.0
2019-12-31,1.2,$-1.09,0.0
2019-09-30,1.51,$-1.34,0.0
2019-06-30,4.02,$-0.88,0.0
2019-03-31,4.3,$-0.94,0.0
2018-12-31,5.75,$-1.11,0.0
2018-09-30,13.56,$-1.04,0.0
2018-06-30,11.87,$-1.08,0.0
2018-03-31,11.23,$-0.85,0.0
2017-12-31,6.68,$-0.89,0.0
2017-09-30,8.19,$-0.65,0.0
2017-06-30,4.49,$-1.03,0.0
2017-03-31,5.51,$-1.12,0.0
2016-12-31,4.05,$-0.84,0.0
2016-09-30,7.05,$-0.80,0.0
2016-06-30,8.15,$-0.87,0.0
