Anterix Price to Free Cash Flow Ratio Historical Data,Anterix Price to Free Cash Flow Ratio Historical Data,Anterix Price to Free Cash Flow Ratio Historical Data,Anterix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.2,,0.0
2024-12-31,30.67,$-0.34,0.0
2024-09-30,37.66,$1.85,20.41
2024-06-30,39.59,$2.53,15.66
2024-03-31,33.61,$2.22,15.13
2023-12-31,33.32,$1.39,23.97
2023-09-30,31.38,$-0.45,0.0
2023-06-30,31.69,$-1.47,0.0
2023-03-31,33.04,$-1.56,0.0
2022-12-31,32.17,$-1.60,0.0
2022-09-30,35.72,$0.64,55.99
2022-06-30,41.07,$0.95,43.03
2022-03-31,57.9,$0.93,62.3
2021-12-31,58.76,$2.07,28.35
2021-09-30,60.7,$-0.44,0.0
2021-06-30,59.99,$-0.70,0.0
2021-03-31,47.16,$-0.59,0.0
2020-12-31,37.6,$-1.70,0.0
2020-09-30,32.71,$-1.69,0.0
2020-06-30,45.34,$-1.53,0.0
2020-03-31,45.67,$-1.72,0.0
2019-12-31,43.21,$-1.66,0.0
2019-09-30,36.2,$-1.67,0.0
2019-06-30,47.0,$-1.76,0.0
2019-03-31,35.16,$-1.63,0.0
2018-12-31,37.39,$-1.56,0.0
2018-09-30,33.9,$-1.61,0.0
2018-06-30,24.95,$-1.60,0.0
2018-03-31,29.85,$-1.59,0.0
2017-12-31,32.1,$-1.63,0.0
2017-09-30,29.8,$-1.68,0.0
2017-06-30,23.3,$-1.75,0.0
2017-03-31,21.85,$-1.96,0.0
2016-12-31,22.55,$-2.01,0.0
2016-09-30,22.9,$-2.16,0.0
2016-06-30,21.39,$-2.08,0.0
2016-03-31,34.34,$-2.04,0.0
2015-12-31,27.5,$-1.79,0.0
