Rayonier Advanced Materials Price to Free Cash Flow Ratio Historical Data,Rayonier Advanced Materials Price to Free Cash Flow Ratio Historical Data,Rayonier Advanced Materials Price to Free Cash Flow Ratio Historical Data,Rayonier Advanced Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.43,,3.94
2024-09-30,8.56,$1.38,6.21
2024-06-30,5.44,$0.27,20.12
2024-03-31,4.78,$-0.65,0.0
2023-12-31,4.05,$0.13,30.66
2023-09-30,3.54,$0.34,10.33
2023-06-30,4.28,$1.29,3.31
2023-03-31,6.27,$0.44,14.1
2022-12-31,9.6,$-1.09,0.0
2022-09-30,3.15,$-1.72,0.0
2022-06-30,2.62,$-1.87,0.0
2022-03-31,6.57,$0.77,8.49
2021-12-31,5.71,$2.20,2.6
2021-09-30,7.5,$2.85,2.64
2021-06-30,6.69,$3.27,2.05
2021-03-31,9.07,$1.74,5.21
2020-12-31,6.52,$0.99,6.59
2020-09-30,3.2,$0.60,5.32
2020-06-30,2.81,$-0.15,0.0
2020-03-31,1.06,$-0.07,0.0
2019-12-31,3.84,$-0.84,0.0
2019-09-30,4.33,$-0.32,0.0
2019-06-30,6.49,$0.59,11.01
2019-03-31,13.42,$0.58,23.32
2018-12-31,10.48,$1.81,5.8
2018-09-30,18.03,$0.78,23.15
2018-06-30,16.67,$0.12,133.89
2018-03-31,20.85,$0.47,44.02
2017-12-31,19.79,$0.98,20.19
2017-09-30,13.21,$1.87,7.07
2017-06-30,15.08,$1.65,9.12
2017-03-31,12.85,$2.34,5.49
2016-12-31,14.69,$3.04,4.83
2016-09-30,12.65,$3.25,3.9
2016-06-30,12.78,$4.46,2.86
2016-03-31,8.88,$3.46,2.57
2015-12-31,9.08,$2.94,3.09
2015-09-30,5.64,$3.30,1.71
2015-06-30,14.8,$2.56,5.79
2015-03-31,13.51,$3.42,3.95
