LexinFintech Holdings Price to Free Cash Flow Ratio Historical Data,LexinFintech Holdings Price to Free Cash Flow Ratio Historical Data,LexinFintech Holdings Price to Free Cash Flow Ratio Historical Data,LexinFintech Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.52,,5.25
2024-09-30,2.72,$2.00,1.36
2024-06-30,1.58,$2.00,0.79
2024-03-31,1.66,$2.00,0.83
2023-12-31,1.69,$2.00,0.85
2023-09-30,2.03,$-0.04,0.0
2023-06-30,2.01,$-0.04,0.0
2023-03-31,2.37,$-0.04,0.0
2022-12-31,1.67,$-0.04,0.0
2022-09-30,1.48,$1.93,0.77
2022-06-30,1.95,$1.93,1.02
2022-03-31,2.3,$1.93,1.19
2021-12-31,3.38,$1.93,1.76
2021-09-30,5.16,$-0.24,0.0
2021-06-30,10.74,$-0.24,0.0
2021-03-31,8.82,$-0.24,0.0
2020-12-31,5.87,$-0.24,0.0
2020-09-30,6.0,$-0.64,0.0
2020-06-30,9.32,$-0.64,0.0
2020-03-31,7.77,$-0.64,0.0
2019-12-31,12.17,$-0.64,0.0
2019-09-30,8.79,$2.20,4.0
2019-06-30,9.78,$2.20,4.45
2019-03-31,9.2,$2.20,4.19
2018-12-31,6.35,$2.20,2.89
2018-09-30,8.7,$2.56,3.4
