KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.27,,14.58
2024-11-30,82.74,$4.20,19.69
2024-08-31,83.44,$3.16,26.4
2024-05-31,70.16,$6.46,10.86
2024-02-29,65.78,$11.81,5.57
2023-11-30,51.41,$12.56,4.09
2023-08-31,49.94,$13.47,3.71
2023-05-31,42.44,$12.28,3.46
2023-02-28,34.43,$5.41,6.37
2022-11-30,30.52,$1.55,19.73
2022-08-31,27.71,$-1.49,0.0
2022-05-31,33.2,$-4.17,0.0
2022-02-28,37.01,$-2.76,0.0
2021-11-30,38.2,$-0.82,0.0
2021-08-31,40.95,$-2.51,0.0
2021-05-31,44.39,$1.12,39.55
2021-02-28,38.18,$2.24,17.04
2020-11-30,33.16,$3.00,11.07
2020-08-31,33.53,$7.50,4.47
2020-05-31,30.94,$5.93,5.22
2020-02-29,30.38,$4.22,7.2
2019-11-30,32.15,$2.31,13.94
2019-08-31,26.05,$0.73,35.85
2019-05-31,23.23,$0.21,108.69
2019-02-28,21.06,$1.68,12.54
2018-11-30,19.26,$2.12,9.09
2018-08-31,22.65,$3.63,6.24
2018-05-31,23.98,$5.62,4.27
2018-02-28,25.24,$4.30,5.87
2017-11-30,28.5,$5.14,5.55
2017-08-31,19.43,$3.99,4.87
2017-05-31,19.03,$3.01,6.33
2017-02-28,16.08,$2.55,6.3
2016-11-30,14.33,$1.91,7.5
2016-08-31,14.18,$0.85,16.73
2016-05-31,12.57,$1.27,9.88
2016-02-29,10.98,$0.75,14.69
2015-11-30,12.65,$1.72,7.37
2015-08-31,13.13,$0.42,31.57
2015-05-31,13.22,$-2.16,0.0
2015-02-28,12.46,$-4.53,0.0
2014-11-30,15.66,$-6.41,0.0
2014-08-31,15.8,$-7.65,0.0
2014-05-31,14.64,$-7.26,0.0
2014-02-28,18.1,$-4.58,0.0
2013-11-30,15.53,$-4.87,0.0
2013-08-31,14.18,$-2.86,0.0
2013-05-31,19.58,$-1.61,0.0
2013-02-28,16.49,$-0.81,0.0
2012-11-30,12.65,$0.43,29.68
2012-08-31,9.71,$-1.48,0.0
2012-05-31,6.36,$-2.16,0.0
2012-02-29,9.99,$-3.80,0.0
2011-11-30,6.39,$-3.47,0.0
2011-08-31,5.68,$-2.58,0.0
2011-05-31,10.5,$-2.76,0.0
2011-02-28,11.27,$-3.08,0.0
2010-11-30,9.57,$-1.75,0.0
2010-08-31,8.68,$0.94,9.27
2010-05-31,12.13,$1.99,6.09
2010-02-28,13.59,$3.45,3.93
2009-11-30,11.27,$4.55,2.48
