ACNB Price to Free Cash Flow Ratio Historical Data,ACNB Price to Free Cash Flow Ratio Historical Data,ACNB Price to Free Cash Flow Ratio Historical Data,ACNB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.25,,9.07
2024-12-31,39.83,$4.55,8.76
2024-09-30,43.37,$4.82,9.0
2024-06-30,35.75,$4.12,8.67
2024-03-31,36.69,$4.14,8.87
2023-12-31,43.31,$4.62,9.37
2023-09-30,30.35,$4.76,6.37
2023-06-30,31.57,$5.39,5.85
2023-03-31,30.69,$5.29,5.8
2022-12-31,37.25,$4.46,8.35
2022-09-30,27.91,$4.26,6.56
2022-06-30,27.39,$3.73,7.34
2022-03-31,32.0,$4.58,6.99
2021-12-31,28.41,$4.70,6.05
2021-09-30,25.2,$4.75,5.3
2021-06-30,24.91,$4.03,6.19
2021-03-31,25.9,$3.06,8.45
2020-12-31,21.9,$2.99,7.33
2020-09-30,18.04,$2.83,6.38
2020-06-30,22.46,$3.52,6.38
2020-03-31,25.48,$3.47,7.34
2019-12-31,31.87,$3.49,9.14
2019-09-30,28.7,$3.79,7.58
2019-06-30,32.87,$3.84,8.57
2019-03-31,30.53,$3.97,7.68
2018-12-31,32.19,$4.04,7.97
2018-09-30,30.51,$4.09,7.46
2018-06-30,27.75,$3.32,8.37
2018-03-31,23.67,$2.74,8.63
2017-12-31,23.74,$2.38,9.97
2017-09-30,22.1,$1.86,11.86
2017-06-30,24.15,$1.95,12.38
2017-03-31,22.68,$2.27,9.99
2016-12-31,24.4,$2.11,11.58
2016-09-30,20.62,$1.90,10.87
2016-06-30,19.34,$2.29,8.46
2016-03-31,17.1,$2.34,7.3
2015-12-31,16.13,$2.48,6.49
2015-09-30,15.68,$2.01,7.78
2015-06-30,15.46,$1.97,7.86
2015-03-31,14.77,$1.51,9.77
2014-12-31,15.84,$1.50,10.59
2014-09-30,13.75,$1.64,8.37
2014-06-30,13.78,$2.03,6.8
2014-03-31,13.26,$2.71,4.9
2013-12-31,12.65,$3.21,3.94
2013-09-30,11.67,$3.19,3.66
2013-06-30,11.45,$2.61,4.39
2013-03-31,11.28,$2.62,4.31
2012-12-31,10.84,$1.73,6.27
2012-09-30,10.59,$2.76,3.83
2012-06-30,9.52,$3.30,2.89
2012-03-31,9.36,$2.83,3.3
2011-12-31,8.81,$3.74,2.36
2011-09-30,8.61,$2.81,3.06
2011-06-30,9.73,$2.36,4.11
2011-03-31,9.8,$2.23,4.4
2010-12-31,9.5,$1.45,6.55
2010-09-30,9.03,$0.79,11.47
2010-06-30,8.26,$1.94,4.26
2010-03-31,7.69,$1.75,4.38
2009-12-31,7.43,$1.43,5.19
