MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.26,,21.42
2024-12-31,39.37,$1.41,27.87
2024-09-30,83.05,$1.93,43.03
2024-06-30,74.12,$1.56,47.49
2024-03-31,85.68,$1.69,50.83
2023-12-31,97.86,$1.29,76.1
2023-09-30,104.64,$0.33,313.38
2023-06-30,105.33,$0.40,265.1
2023-03-31,95.74,$0.94,101.59
2022-12-31,105.17,$1.98,53.18
2022-09-30,104.85,$2.38,43.99
2022-06-30,98.75,$1.78,55.56
2022-03-31,84.33,$2.21,38.19
2021-12-31,83.61,$1.97,42.39
2021-09-30,63.94,$2.69,23.73
2021-06-30,66.31,$3.69,17.98
2021-03-31,57.88,$2.72,21.26
2020-12-31,45.97,$2.15,21.35
2020-09-30,38.71,$1.04,37.23
2020-06-30,35.63,$0.15,234.43
2020-03-31,26.02,$0.34,76.23
2019-12-31,46.63,$0.18,265.12
2019-09-30,47.71,$1.28,37.15
2019-06-30,63.56,$0.66,96.04
2019-03-31,73.83,$0.06,1177.57
2018-12-31,54.6,$0.14,378.1
2018-09-30,75.5,$-0.45,0.0
2018-06-30,84.81,$-0.01,0.0
2018-03-31,85.47,$0.82,104.0
2017-12-31,73.27,$0.74,98.83
2017-09-30,57.75,$0.93,62.35
2017-06-30,48.04,$0.59,81.67
2017-03-31,50.87,$0.02,2434.11
2016-12-31,46.84,$0.18,259.23
2016-09-30,37.96,$-0.85,0.0
2016-06-30,35.79,$-1.10,0.0
2016-03-31,22.69,$-1.04,0.0
2015-12-31,24.21,$-0.69,0.0
2015-09-30,14.94,$-0.13,0.0
2015-06-30,15.7,$0.61,25.62
2015-03-31,12.56,$0.74,17.01
2014-12-31,14.74,$0.51,28.78
2014-09-30,12.15,$0.85,14.36
2014-06-30,7.4,$0.60,12.41
2014-03-31,6.27,$0.38,16.39
2013-12-31,4.78,$0.65,7.36
2013-09-30,4.83,$0.08,59.85
2013-06-30,5.49,$-0.08,0.0
2013-03-31,4.01,$-0.00,0.0
2012-12-31,3.12,$-0.65,0.0
2012-09-30,3.48,$-0.21,0.0
2012-06-30,2.93,$-0.92,0.0
2012-03-31,4.91,$-0.87,0.0
2011-12-31,4.56,$-0.65,0.0
2011-09-30,4.58,$-0.98,0.0
2011-06-30,7.81,$-0.59,0.0
2011-03-31,7.82,$-2.19,0.0
2010-12-31,9.9,$-0.29,0.0
2010-09-30,7.04,$0.49,14.29
2010-06-30,5.91,$1.21,4.89
2010-03-31,6.84,$2.77,2.47
2009-12-31,6.82,$1.21,5.64
