Vince Holding Price to Free Cash Flow Ratio Historical Data,Vince Holding Price to Free Cash Flow Ratio Historical Data,Vince Holding Price to Free Cash Flow Ratio Historical Data,Vince Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.95,,2.23
2024-10-31,1.8,$0.87,2.06
2024-07-31,1.67,$0.99,1.69
2024-04-30,1.99,$-0.77,0.0
2024-01-31,3.34,$0.01,231.94
2023-10-31,1.35,$-0.41,0.0
2023-07-31,2.9,$-1.62,0.0
2023-04-30,6.85,$-0.97,0.0
2023-01-31,7.33,$-1.80,0.0
2022-10-31,8.1,$-2.26,0.0
2022-07-31,6.95,$-2.08,0.0
2022-04-30,9.11,$-0.58,0.0
2022-01-31,9.0,$-0.44,0.0
2021-10-31,9.65,$0.32,29.89
2021-07-31,7.95,$-0.67,0.0
2021-04-30,11.28,$-1.89,0.0
2021-01-31,8.19,$-2.43,0.0
2020-10-31,4.0,$-2.30,0.0
2020-07-31,4.57,$-0.29,0.0
2020-04-30,5.97,$-0.02,0.0
2020-01-31,14.77,$1.03,14.33
2019-10-31,21.12,$1.06,19.9
2019-07-31,14.04,$0.54,26.18
2019-04-30,13.5,$0.21,64.62
2019-01-31,11.98,$-0.09,0.0
2018-10-31,13.83,$0.14,99.28
2018-07-31,17.71,$1.19,14.84
2018-04-30,8.98,$-1.47,0.0
2018-01-31,7.32,$-5.75,0.0
2017-10-31,3.61,$-7.17,0.0
2017-07-31,5.57,$-8.29,0.0
2017-04-30,10.0,$-4.43,0.0
2017-01-31,30.5,$-9.48,0.0
2016-10-31,54.5,$-3.12,0.0
2016-07-31,50.0,$-1.13,0.0
2016-04-30,61.8,$-1.57,0.0
2016-01-31,51.7,$9.07,5.7
2015-10-31,45.5,$11.74,3.88
2015-07-31,98.1,$14.30,6.86
2015-04-30,184.3,$11.72,15.73
2015-01-31,234.5,$15.84,14.81
2014-10-31,350.5,$-4.06,0.0
