Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.29,,26.77
2024-12-31,19.55,$0.87,22.47
2024-09-30,18.21,$0.79,23.09
2024-06-30,17.38,$0.70,24.66
2024-03-31,19.59,$0.49,39.94
2023-12-31,23.03,$0.65,35.55
2023-09-30,23.0,$0.42,55.26
2023-06-30,26.11,$0.36,71.89
2023-03-31,27.61,$0.37,74.97
2022-12-31,22.71,$0.43,53.26
2022-09-30,34.06,$0.04,834.8
2022-06-30,29.12,$0.50,57.98
2022-03-31,26.73,$0.48,55.69
