Origin Materials Price to Free Cash Flow Ratio Historical Data,Origin Materials Price to Free Cash Flow Ratio Historical Data,Origin Materials Price to Free Cash Flow Ratio Historical Data,Origin Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.78,,0.0
2024-12-31,1.28,$-0.42,0.0
2024-09-30,1.54,$-0.53,0.0
2024-06-30,0.9,$-0.60,0.0
2024-03-31,0.51,$-0.85,0.0
2023-12-31,0.84,$-1.14,0.0
2023-09-30,1.28,$-1.26,0.0
2023-06-30,4.26,$-1.35,0.0
2023-03-31,4.27,$-1.11,0.0
2022-12-31,4.61,$-0.77,0.0
2022-09-30,5.16,$-0.65,0.0
2022-06-30,5.12,$-0.40,0.0
2022-03-31,6.58,$-0.34,0.0
2021-12-31,6.45,$-0.32,0.0
2021-09-30,6.81,$-0.18,0.0
2021-06-30,8.2,$-0.24,0.0
