Freightos Price to Free Cash Flow Ratio Historical Data,Freightos Price to Free Cash Flow Ratio Historical Data,Freightos Price to Free Cash Flow Ratio Historical Data,Freightos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.59,,0.0
2024-09-30,1.44,$-0.25,0.0
2024-06-30,2.38,$-0.30,0.0
2024-03-31,2.45,$-0.30,0.0
2023-12-31,3.33,$-0.61,0.0
